event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
TXN_EVT_20110713_000000_0,2011-07-12 00:00:00+00:00,2011-07-13 00:00:00+00:00,23.3301,-1,219,TXN
TXN_EVT_20111028_000000_1,2011-10-27 00:00:00+00:00,2011-10-28 00:00:00+00:00,23.6908,1,295,TXN
TXN_EVT_20120501_000000_2,2012-04-30 00:00:00+00:00,2012-05-01 00:00:00+00:00,23.9185,-1,421,TXN
TXN_EVT_20120611_000000_3,2012-06-08 00:00:00+00:00,2012-06-11 00:00:00+00:00,21.6497,-1,449,TXN
TXN_EVT_20120815_000000_4,2012-08-14 00:00:00+00:00,2012-08-15 00:00:00+00:00,22.4706,1,495,TXN
TXN_EVT_20121024_000000_5,2012-10-23 00:00:00+00:00,2012-10-24 00:00:00+00:00,21.2307,-1,544,TXN
TXN_EVT_20130103_000000_6,2013-01-02 00:00:00+00:00,2013-01-03 00:00:00+00:00,24.6607,1,590,TXN
TXN_EVT_20130211_000000_7,2013-02-08 00:00:00+00:00,2013-02-11 00:00:00+00:00,26.3588,1,616,TXN
TXN_EVT_20130628_000000_8,2013-06-27 00:00:00+00:00,2013-06-28 00:00:00+00:00,26.8841,-1,712,TXN
TXN_EVT_20130712_000000_9,2013-07-11 00:00:00+00:00,2013-07-12 00:00:00+00:00,28.9125,1,721,TXN
TXN_EVT_20130723_000000_10,2013-07-22 00:00:00+00:00,2013-07-23 00:00:00+00:00,30.0401,1,728,TXN
TXN_EVT_20130823_000000_11,2013-08-22 00:00:00+00:00,2013-08-23 00:00:00+00:00,30.4757,1,751,TXN
TXN_EVT_20140714_000000_12,2014-07-11 00:00:00+00:00,2014-07-14 00:00:00+00:00,39.5175,1,973,TXN
TXN_EVT_20140924_000000_13,2014-09-23 00:00:00+00:00,2014-09-24 00:00:00+00:00,39.144,1,1024,TXN
TXN_EVT_20150728_000000_14,2015-07-27 00:00:00+00:00,2015-07-28 00:00:00+00:00,40.31,-1,1235,TXN
TXN_EVT_20160405_000000_15,2016-04-04 00:00:00+00:00,2016-04-05 00:00:00+00:00,48.1967,1,1408,TXN
TXN_EVT_20160412_000000_16,2016-04-11 00:00:00+00:00,2016-04-12 00:00:00+00:00,48.4234,1,1413,TXN
TXN_EVT_20160621_000000_17,2016-06-20 00:00:00+00:00,2016-06-21 00:00:00+00:00,52.3825,1,1462,TXN
TXN_EVT_20170302_000000_18,2017-03-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,67.3074,1,1637,TXN
TXN_EVT_20171211_000000_19,2017-12-08 00:00:00+00:00,2017-12-11 00:00:00+00:00,85.8209,1,1834,TXN
TXN_EVT_20180112_000000_20,2018-01-11 00:00:00+00:00,2018-01-12 00:00:00+00:00,96.9188,1,1856,TXN
TXN_EVT_20180525_000000_21,2018-05-24 00:00:00+00:00,2018-05-25 00:00:00+00:00,97.9429,1,1948,TXN
TXN_EVT_20180615_000000_22,2018-06-14 00:00:00+00:00,2018-06-15 00:00:00+00:00,101.684,1,1962,TXN
TXN_EVT_20190424_000000_23,2019-04-23 00:00:00+00:00,2019-04-24 00:00:00+00:00,104.03,1,2176,TXN
TXN_EVT_20191007_000000_24,2019-10-04 00:00:00+00:00,2019-10-07 00:00:00+00:00,119.209,1,2291,TXN
TXN_EVT_20200319_000000_25,2020-03-18 00:00:00+00:00,2020-03-19 00:00:00+00:00,92.3989,-1,2404,TXN
TXN_EVT_20201106_000000_26,2020-11-05 00:00:00+00:00,2020-11-06 00:00:00+00:00,148.274,1,2566,TXN
TXN_EVT_20211208_000000_27,2021-12-07 00:00:00+00:00,2021-12-08 00:00:00+00:00,193.039,1,2839,TXN
TXN_EVT_20220630_000000_28,2022-06-29 00:00:00+00:00,2022-06-30 00:00:00+00:00,150.294,-1,2979,TXN
TXN_EVT_20220811_000000_29,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,181.979,1,3008,TXN
TXN_EVT_20230510_000000_30,2023-05-09 00:00:00+00:00,2023-05-10 00:00:00+00:00,164.81,-1,3195,TXN
TXN_EVT_20240528_000000_31,2024-05-24 00:00:00+00:00,2024-05-28 00:00:00+00:00,206.0,1,3458,TXN
TXN_EVT_20240830_000000_32,2024-08-29 00:00:00+00:00,2024-08-30 00:00:00+00:00,212.58,1,3524,TXN
TXN_EVT_20241220_000000_33,2024-12-19 00:00:00+00:00,2024-12-20 00:00:00+00:00,184.47,-1,3602,TXN
TXN_EVT_20250210_000000_34,2025-02-07 00:00:00+00:00,2025-02-10 00:00:00+00:00,181.35,-1,3634,TXN
TXN_EVT_20250522_000000_35,2025-05-21 00:00:00+00:00,2025-05-22 00:00:00+00:00,185.94,1,3705,TXN
TXN_EVT_20250605_000000_36,2025-06-04 00:00:00+00:00,2025-06-05 00:00:00+00:00,192.91,1,3714,TXN
TXN_EVT_20250718_000000_37,2025-07-17 00:00:00+00:00,2025-07-18 00:00:00+00:00,218.49,1,3743,TXN
