event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
T_EVT_20110127_000000_0,2011-01-26 00:00:00+00:00,2011-01-27 00:00:00+00:00,10.7942,1,104,T
T_EVT_20110418_000000_1,2011-04-15 00:00:00+00:00,2011-04-18 00:00:00+00:00,11.8626,1,160,T
T_EVT_20120206_000000_2,2012-02-03 00:00:00+00:00,2012-02-06 00:00:00+00:00,12.1502,1,362,T
T_EVT_20120521_000000_3,2012-05-18 00:00:00+00:00,2012-05-21 00:00:00+00:00,13.9236,1,435,T
T_EVT_20120912_000000_4,2012-09-11 00:00:00+00:00,2012-09-12 00:00:00+00:00,15.7458,1,514,T
T_EVT_20121002_000000_5,2012-10-01 00:00:00+00:00,2012-10-02 00:00:00+00:00,15.863,1,528,T
T_EVT_20130219_000000_6,2013-02-15 00:00:00+00:00,2013-02-19 00:00:00+00:00,15.1567,1,621,T
T_EVT_20130621_000000_7,2013-06-20 00:00:00+00:00,2013-06-21 00:00:00+00:00,14.9803,-1,707,T
T_EVT_20140219_000000_8,2014-02-18 00:00:00+00:00,2014-02-19 00:00:00+00:00,14.752,-1,873,T
T_EVT_20141015_000000_9,2014-10-14 00:00:00+00:00,2014-10-15 00:00:00+00:00,15.7934,-1,1039,T
T_EVT_20160503_000000_10,2016-05-02 00:00:00+00:00,2016-05-03 00:00:00+00:00,19.8624,1,1428,T
T_EVT_20160830_000000_11,2016-08-29 00:00:00+00:00,2016-08-30 00:00:00+00:00,21.1777,-1,1511,T
T_EVT_20160912_000000_12,2016-09-09 00:00:00+00:00,2016-09-12 00:00:00+00:00,20.369,-1,1519,T
T_EVT_20161103_000000_13,2016-11-02 00:00:00+00:00,2016-11-03 00:00:00+00:00,19.0487,-1,1557,T
T_EVT_20170410_000000_14,2017-04-07 00:00:00+00:00,2017-04-10 00:00:00+00:00,21.6555,-1,1664,T
T_EVT_20170518_000000_15,2017-05-17 00:00:00+00:00,2017-05-18 00:00:00+00:00,20.0009,-1,1691,T
T_EVT_20170616_000000_16,2017-06-15 00:00:00+00:00,2017-06-16 00:00:00+00:00,20.7839,1,1711,T
T_EVT_20170724_000000_17,2017-07-21 00:00:00+00:00,2017-07-24 00:00:00+00:00,19.7271,-1,1736,T
T_EVT_20171106_000000_18,2017-11-03 00:00:00+00:00,2017-11-06 00:00:00+00:00,18.0936,-1,1810,T
T_EVT_20180108_000000_19,2018-01-05 00:00:00+00:00,2018-01-08 00:00:00+00:00,20.8725,1,1852,T
T_EVT_20180627_000000_20,2018-06-26 00:00:00+00:00,2018-06-27 00:00:00+00:00,17.9809,-1,1970,T
T_EVT_20180827_000000_21,2018-08-24 00:00:00+00:00,2018-08-27 00:00:00+00:00,18.6938,1,2012,T
T_EVT_20190819_000000_22,2019-08-16 00:00:00+00:00,2019-08-19 00:00:00+00:00,21.2706,1,2257,T
T_EVT_20191204_000000_23,2019-12-03 00:00:00+00:00,2019-12-04 00:00:00+00:00,23.1529,-1,2332,T
T_EVT_20191224_000000_24,2019-12-23 00:00:00+00:00,2019-12-24 00:00:00+00:00,24.0831,1,2346,T
T_EVT_20210127_000000_25,2021-01-26 00:00:00+00:00,2021-01-27 00:00:00+00:00,19.4446,1,2620,T
T_EVT_20210609_000000_26,2021-06-08 00:00:00+00:00,2021-06-09 00:00:00+00:00,19.7205,-1,2712,T
T_EVT_20210618_000000_27,2021-06-17 00:00:00+00:00,2021-06-18 00:00:00+00:00,19.5016,-1,2719,T
T_EVT_20211026_000000_28,2021-10-25 00:00:00+00:00,2021-10-26 00:00:00+00:00,18.1229,-1,2809,T
T_EVT_20211126_000000_29,2021-11-24 00:00:00+00:00,2021-11-26 00:00:00+00:00,17.0266,-1,2831,T
T_EVT_20220819_000000_30,2022-08-18 00:00:00+00:00,2022-08-19 00:00:00+00:00,18.0592,-1,3014,T
T_EVT_20221005_000000_31,2022-10-04 00:00:00+00:00,2022-10-05 00:00:00+00:00,15.6913,-1,3046,T
T_EVT_20221121_000000_32,2022-11-18 00:00:00+00:00,2022-11-21 00:00:00+00:00,18.975,1,3079,T
T_EVT_20230323_000000_33,2023-03-22 00:00:00+00:00,2023-03-23 00:00:00+00:00,18.41,-1,3162,T
T_EVT_20230412_000000_34,2023-04-11 00:00:00+00:00,2023-04-12 00:00:00+00:00,19.79,1,3175,T
T_EVT_20230503_000000_35,2023-05-02 00:00:00+00:00,2023-05-03 00:00:00+00:00,17.15,-1,3190,T
T_EVT_20230510_000000_36,2023-05-09 00:00:00+00:00,2023-05-10 00:00:00+00:00,17.06,-1,3195,T
T_EVT_20230712_000000_37,2023-07-11 00:00:00+00:00,2023-07-12 00:00:00+00:00,15.24,-1,3237,T
T_EVT_20231025_000000_38,2023-10-24 00:00:00+00:00,2023-10-25 00:00:00+00:00,15.5,1,3311,T
T_EVT_20240103_000000_39,2024-01-02 00:00:00+00:00,2024-01-03 00:00:00+00:00,17.32,1,3358,T
T_EVT_20241204_000000_40,2024-12-03 00:00:00+00:00,2024-12-04 00:00:00+00:00,23.67,1,3590,T
