event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
UNH_EVT_20110425_000000_0,2011-04-21 00:00:00+00:00,2011-04-25 00:00:00+00:00,37.8206,1,164,UNH
UNH_EVT_20111004_000000_1,2011-10-03 00:00:00+00:00,2011-10-04 00:00:00+00:00,34.0142,-1,277,UNH
UNH_EVT_20111220_000000_2,2011-12-19 00:00:00+00:00,2011-12-20 00:00:00+00:00,40.0526,1,331,UNH
UNH_EVT_20120316_000000_3,2012-03-15 00:00:00+00:00,2012-03-16 00:00:00+00:00,45.1754,1,390,UNH
UNH_EVT_20120423_000000_4,2012-04-20 00:00:00+00:00,2012-04-23 00:00:00+00:00,47.9866,1,415,UNH
UNH_EVT_20120517_000000_5,2012-05-16 00:00:00+00:00,2012-05-17 00:00:00+00:00,44.7128,-1,433,UNH
UNH_EVT_20120814_000000_6,2012-08-13 00:00:00+00:00,2012-08-14 00:00:00+00:00,42.5752,-1,494,UNH
UNH_EVT_20130211_000000_7,2013-02-08 00:00:00+00:00,2013-02-11 00:00:00+00:00,47.338,1,616,UNH
UNH_EVT_20130410_000000_8,2013-04-09 00:00:00+00:00,2013-04-10 00:00:00+00:00,51.4494,1,656,UNH
UNH_EVT_20130417_000000_9,2013-04-16 00:00:00+00:00,2013-04-17 00:00:00+00:00,51.5082,1,661,UNH
UNH_EVT_20130708_000000_10,2013-07-05 00:00:00+00:00,2013-07-08 00:00:00+00:00,55.516,1,717,UNH
UNH_EVT_20140224_000000_11,2014-02-21 00:00:00+00:00,2014-02-24 00:00:00+00:00,61.9436,1,876,UNH
UNH_EVT_20140311_000000_12,2014-03-10 00:00:00+00:00,2014-03-11 00:00:00+00:00,65.0938,1,887,UNH
UNH_EVT_20140404_000000_13,2014-04-03 00:00:00+00:00,2014-04-04 00:00:00+00:00,69.3363,1,905,UNH
UNH_EVT_20150116_000000_14,2015-01-15 00:00:00+00:00,2015-01-16 00:00:00+00:00,88.7437,1,1103,UNH
UNH_EVT_20150317_000000_15,2015-03-16 00:00:00+00:00,2015-03-17 00:00:00+00:00,100.576,1,1143,UNH
UNH_EVT_20160226_000000_16,2016-02-25 00:00:00+00:00,2016-02-26 00:00:00+00:00,104.851,1,1382,UNH
UNH_EVT_20160302_000000_17,2016-03-01 00:00:00+00:00,2016-03-02 00:00:00+00:00,104.622,1,1385,UNH
UNH_EVT_20160914_000000_18,2016-09-13 00:00:00+00:00,2016-09-14 00:00:00+00:00,117.103,-1,1521,UNH
UNH_EVT_20170421_000000_19,2017-04-20 00:00:00+00:00,2017-04-21 00:00:00+00:00,151.717,1,1672,UNH
UNH_EVT_20170602_000000_20,2017-06-01 00:00:00+00:00,2017-06-02 00:00:00+00:00,158.584,1,1701,UNH
UNH_EVT_20171114_000000_21,2017-11-13 00:00:00+00:00,2017-11-14 00:00:00+00:00,188.52,1,1816,UNH
UNH_EVT_20180427_000000_22,2018-04-26 00:00:00+00:00,2018-04-27 00:00:00+00:00,212.509,1,1928,UNH
UNH_EVT_20180808_000000_23,2018-08-07 00:00:00+00:00,2018-08-08 00:00:00+00:00,231.647,1,1999,UNH
UNH_EVT_20190220_000000_24,2019-02-19 00:00:00+00:00,2019-02-20 00:00:00+00:00,243.205,1,2132,UNH
UNH_EVT_20191108_000000_25,2019-11-07 00:00:00+00:00,2019-11-08 00:00:00+00:00,234.99,1,2315,UNH
UNH_EVT_20191205_000000_26,2019-12-04 00:00:00+00:00,2019-12-05 00:00:00+00:00,255.541,1,2333,UNH
UNH_EVT_20200324_000000_27,2020-03-23 00:00:00+00:00,2020-03-24 00:00:00+00:00,186.498,-1,2407,UNH
UNH_EVT_20210108_000000_28,2021-01-07 00:00:00+00:00,2021-01-08 00:00:00+00:00,342.707,1,2608,UNH
UNH_EVT_20210216_000000_29,2021-02-12 00:00:00+00:00,2021-02-16 00:00:00+00:00,305.686,-1,2633,UNH
UNH_EVT_20210409_000000_30,2021-04-08 00:00:00+00:00,2021-04-09 00:00:00+00:00,345.185,1,2670,UNH
UNH_EVT_20210521_000000_31,2021-05-20 00:00:00+00:00,2021-05-21 00:00:00+00:00,384.922,1,2700,UNH
UNH_EVT_20210804_000000_32,2021-08-03 00:00:00+00:00,2021-08-04 00:00:00+00:00,396.945,1,2751,UNH
UNH_EVT_20220204_000000_33,2022-02-03 00:00:00+00:00,2022-02-04 00:00:00+00:00,456.18,1,2879,UNH
UNH_EVT_20220406_000000_34,2022-04-05 00:00:00+00:00,2022-04-06 00:00:00+00:00,492.165,1,2921,UNH
UNH_EVT_20220614_000000_35,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,443.995,-1,2968,UNH
UNH_EVT_20230811_000000_36,2023-08-10 00:00:00+00:00,2023-08-11 00:00:00+00:00,488.647,1,3259,UNH
