event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
UPS_EVT_20110217_000000_0,2011-02-16 00:00:00+00:00,2011-02-17 00:00:00+00:00,53.1354,1,119,UPS
UPS_EVT_20110926_000000_1,2011-09-23 00:00:00+00:00,2011-09-26 00:00:00+00:00,44.7241,-1,271,UPS
UPS_EVT_20120719_000000_2,2012-07-18 00:00:00+00:00,2012-07-19 00:00:00+00:00,58.6374,1,476,UPS
UPS_EVT_20120906_000000_3,2012-09-05 00:00:00+00:00,2012-09-06 00:00:00+00:00,53.2067,-1,510,UPS
UPS_EVT_20120921_000000_4,2012-09-20 00:00:00+00:00,2012-09-21 00:00:00+00:00,53.3461,-1,521,UPS
UPS_EVT_20121023_000000_5,2012-10-22 00:00:00+00:00,2012-10-23 00:00:00+00:00,53.9954,-1,543,UPS
UPS_EVT_20130710_000000_6,2013-07-09 00:00:00+00:00,2013-07-10 00:00:00+00:00,67.6123,1,719,UPS
UPS_EVT_20131018_000000_7,2013-10-17 00:00:00+00:00,2013-10-18 00:00:00+00:00,70.1307,1,790,UPS
UPS_EVT_20140220_000000_8,2014-02-19 00:00:00+00:00,2014-02-20 00:00:00+00:00,73.0196,-1,874,UPS
UPS_EVT_20140512_000000_9,2014-05-09 00:00:00+00:00,2014-05-12 00:00:00+00:00,76.985,1,930,UPS
UPS_EVT_20141014_000000_10,2014-10-13 00:00:00+00:00,2014-10-14 00:00:00+00:00,74.3759,-1,1038,UPS
UPS_EVT_20141124_000000_11,2014-11-21 00:00:00+00:00,2014-11-24 00:00:00+00:00,84.5383,1,1067,UPS
UPS_EVT_20150316_000000_12,2015-03-13 00:00:00+00:00,2015-03-16 00:00:00+00:00,78.2759,-1,1142,UPS
UPS_EVT_20150727_000000_13,2015-07-24 00:00:00+00:00,2015-07-27 00:00:00+00:00,75.2874,-1,1234,UPS
UPS_EVT_20150811_000000_14,2015-08-10 00:00:00+00:00,2015-08-11 00:00:00+00:00,81.7664,1,1245,UPS
UPS_EVT_20150817_000000_15,2015-08-14 00:00:00+00:00,2015-08-17 00:00:00+00:00,82.0324,1,1249,UPS
UPS_EVT_20151231_000000_16,2015-12-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,78.2944,-1,1344,UPS
UPS_EVT_20160519_000000_17,2016-05-18 00:00:00+00:00,2016-05-19 00:00:00+00:00,82.6857,-1,1440,UPS
UPS_EVT_20160629_000000_18,2016-06-28 00:00:00+00:00,2016-06-29 00:00:00+00:00,86.5887,1,1468,UPS
UPS_EVT_20161031_000000_19,2016-10-28 00:00:00+00:00,2016-10-31 00:00:00+00:00,89.3305,-1,1554,UPS
UPS_EVT_20170419_000000_20,2017-04-18 00:00:00+00:00,2017-04-19 00:00:00+00:00,87.7022,-1,1670,UPS
UPS_EVT_20170831_000000_21,2017-08-30 00:00:00+00:00,2017-08-31 00:00:00+00:00,98.3484,1,1764,UPS
UPS_EVT_20180104_000000_22,2018-01-03 00:00:00+00:00,2018-01-04 00:00:00+00:00,108.966,1,1850,UPS
UPS_EVT_20181102_000000_23,2018-11-01 00:00:00+00:00,2018-11-02 00:00:00+00:00,94.1079,-1,2060,UPS
UPS_EVT_20181211_000000_24,2018-12-10 00:00:00+00:00,2018-12-11 00:00:00+00:00,93.7228,-1,2085,UPS
UPS_EVT_20190520_000000_25,2019-05-17 00:00:00+00:00,2019-05-20 00:00:00+00:00,88.9667,-1,2194,UPS
UPS_EVT_20191115_000000_26,2019-11-14 00:00:00+00:00,2019-11-15 00:00:00+00:00,113.294,1,2320,UPS
UPS_EVT_20200102_000000_27,2019-12-31 00:00:00+00:00,2020-01-02 00:00:00+00:00,107.932,-1,2351,UPS
UPS_EVT_20200210_000000_28,2020-02-07 00:00:00+00:00,2020-02-10 00:00:00+00:00,94.8333,-1,2377,UPS
UPS_EVT_20201021_000000_29,2020-10-20 00:00:00+00:00,2020-10-21 00:00:00+00:00,166.17,1,2554,UPS
UPS_EVT_20210422_000000_30,2021-04-21 00:00:00+00:00,2021-04-22 00:00:00+00:00,169.542,1,2679,UPS
UPS_EVT_20210806_000000_31,2021-08-05 00:00:00+00:00,2021-08-06 00:00:00+00:00,183.739,-1,2753,UPS
UPS_EVT_20210810_000000_32,2021-08-09 00:00:00+00:00,2021-08-10 00:00:00+00:00,183.182,-1,2755,UPS
UPS_EVT_20220128_000000_33,2022-01-27 00:00:00+00:00,2022-01-28 00:00:00+00:00,189.53,-1,2874,UPS
UPS_EVT_20220209_000000_34,2022-02-08 00:00:00+00:00,2022-02-09 00:00:00+00:00,220.574,1,2882,UPS
UPS_EVT_20220513_000000_35,2022-05-12 00:00:00+00:00,2022-05-13 00:00:00+00:00,173.918,-1,2947,UPS
UPS_EVT_20220908_000000_36,2022-09-07 00:00:00+00:00,2022-09-08 00:00:00+00:00,193.431,1,3027,UPS
UPS_EVT_20221130_000000_37,2022-11-29 00:00:00+00:00,2022-11-30 00:00:00+00:00,184.75,1,3085,UPS
UPS_EVT_20231215_000000_38,2023-12-14 00:00:00+00:00,2023-12-15 00:00:00+00:00,161.37,1,3347,UPS
UPS_EVT_20241025_000000_39,2024-10-24 00:00:00+00:00,2024-10-25 00:00:00+00:00,138.34,1,3563,UPS
UPS_EVT_20250106_000000_40,2025-01-03 00:00:00+00:00,2025-01-06 00:00:00+00:00,124.7,-1,3611,UPS
UPS_EVT_20250326_000000_41,2025-03-25 00:00:00+00:00,2025-03-26 00:00:00+00:00,110.7,-1,3665,UPS
