event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
VZ_EVT_20110328_000000_0,2011-03-25 00:00:00+00:00,2011-03-28 00:00:00+00:00,21.775,1,145,VZ
VZ_EVT_20110428_000000_1,2011-04-27 00:00:00+00:00,2011-04-28 00:00:00+00:00,22.4733,1,167,VZ
VZ_EVT_20120109_000000_2,2012-01-06 00:00:00+00:00,2012-01-09 00:00:00+00:00,23.6058,1,343,VZ
VZ_EVT_20121116_000000_3,2012-11-15 00:00:00+00:00,2012-11-16 00:00:00+00:00,26.4515,-1,559,VZ
VZ_EVT_20130102_000000_4,2012-12-31 00:00:00+00:00,2013-01-02 00:00:00+00:00,28.2512,-1,589,VZ
VZ_EVT_20130103_000000_5,2013-01-02 00:00:00+00:00,2013-01-03 00:00:00+00:00,28.1745,1,590,VZ
VZ_EVT_20140911_000000_6,2014-09-10 00:00:00+00:00,2014-09-11 00:00:00+00:00,33.3298,-1,1015,VZ
VZ_EVT_20141009_000000_7,2014-10-08 00:00:00+00:00,2014-10-09 00:00:00+00:00,34.47,1,1035,VZ
VZ_EVT_20141201_000000_8,2014-11-28 00:00:00+00:00,2014-12-01 00:00:00+00:00,35.11,1,1071,VZ
VZ_EVT_20150407_000000_9,2015-04-06 00:00:00+00:00,2015-04-07 00:00:00+00:00,34.907,1,1157,VZ
VZ_EVT_20150511_000000_10,2015-05-08 00:00:00+00:00,2015-05-11 00:00:00+00:00,35.5422,1,1181,VZ
VZ_EVT_20150930_000000_11,2015-09-29 00:00:00+00:00,2015-09-30 00:00:00+00:00,31.435,-1,1280,VZ
VZ_EVT_20160219_000000_12,2016-02-18 00:00:00+00:00,2016-02-19 00:00:00+00:00,37.3196,1,1377,VZ
VZ_EVT_20160405_000000_13,2016-04-04 00:00:00+00:00,2016-04-05 00:00:00+00:00,39.9944,1,1408,VZ
VZ_EVT_20161101_000000_14,2016-10-31 00:00:00+00:00,2016-11-01 00:00:00+00:00,36.6874,-1,1555,VZ
VZ_EVT_20170208_000000_15,2017-02-07 00:00:00+00:00,2017-02-08 00:00:00+00:00,36.9515,-1,1622,VZ
VZ_EVT_20170321_000000_16,2017-03-20 00:00:00+00:00,2017-03-21 00:00:00+00:00,38.7386,1,1650,VZ
VZ_EVT_20170510_000000_17,2017-05-09 00:00:00+00:00,2017-05-10 00:00:00+00:00,36.0327,-1,1685,VZ
VZ_EVT_20170630_000000_18,2017-06-29 00:00:00+00:00,2017-06-30 00:00:00+00:00,34.6497,-1,1721,VZ
VZ_EVT_20170706_000000_19,2017-07-05 00:00:00+00:00,2017-07-06 00:00:00+00:00,34.5972,-1,1724,VZ
VZ_EVT_20170719_000000_20,2017-07-18 00:00:00+00:00,2017-07-19 00:00:00+00:00,34.1088,-1,1733,VZ
VZ_EVT_20171218_000000_21,2017-12-15 00:00:00+00:00,2017-12-18 00:00:00+00:00,42.1534,1,1839,VZ
VZ_EVT_20190402_000000_22,2019-04-01 00:00:00+00:00,2019-04-02 00:00:00+00:00,49.8999,1,2161,VZ
VZ_EVT_20200428_000000_23,2020-04-27 00:00:00+00:00,2020-04-28 00:00:00+00:00,51.32,1,2431,VZ
VZ_EVT_20201123_000000_24,2020-11-20 00:00:00+00:00,2020-11-23 00:00:00+00:00,54.4328,1,2577,VZ
VZ_EVT_20201203_000000_25,2020-12-02 00:00:00+00:00,2020-12-03 00:00:00+00:00,55.4302,1,2584,VZ
VZ_EVT_20210121_000000_26,2021-01-20 00:00:00+00:00,2021-01-21 00:00:00+00:00,52.4291,-1,2616,VZ
VZ_EVT_20210406_000000_27,2021-04-05 00:00:00+00:00,2021-04-06 00:00:00+00:00,53.9151,1,2667,VZ
VZ_EVT_20210419_000000_28,2021-04-16 00:00:00+00:00,2021-04-19 00:00:00+00:00,54.2055,1,2676,VZ
VZ_EVT_20211208_000000_29,2021-12-07 00:00:00+00:00,2021-12-08 00:00:00+00:00,48.0886,-1,2839,VZ
VZ_EVT_20220420_000000_30,2022-04-19 00:00:00+00:00,2022-04-20 00:00:00+00:00,52.2134,1,2930,VZ
VZ_EVT_20220512_000000_31,2022-05-11 00:00:00+00:00,2022-05-12 00:00:00+00:00,46.4347,-1,2946,VZ
VZ_EVT_20220819_000000_32,2022-08-18 00:00:00+00:00,2022-08-19 00:00:00+00:00,43.3702,-1,3014,VZ
VZ_EVT_20240404_000000_33,2024-04-03 00:00:00+00:00,2024-04-04 00:00:00+00:00,42.99,1,3421,VZ
