event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
V_EVT_20101101_000000_0,2010-10-29 00:00:00+00:00,2010-11-01 00:00:00+00:00,17.6889,1,44,V
V_EVT_20110714_000000_1,2011-07-13 00:00:00+00:00,2011-07-14 00:00:00+00:00,19.9435,1,219,V
V_EVT_20110722_000000_2,2011-07-21 00:00:00+00:00,2011-07-22 00:00:00+00:00,19.9093,1,225,V
V_EVT_20120912_000000_3,2012-09-11 00:00:00+00:00,2012-09-12 00:00:00+00:00,30.0369,1,513,V
V_EVT_20121113_000000_4,2012-11-12 00:00:00+00:00,2012-11-13 00:00:00+00:00,32.5331,1,555,V
V_EVT_20130306_000000_5,2013-03-05 00:00:00+00:00,2013-03-06 00:00:00+00:00,36.865,1,631,V
V_EVT_20130819_000000_6,2013-08-16 00:00:00+00:00,2013-08-19 00:00:00+00:00,39.638,-1,746,V
V_EVT_20140414_000000_7,2014-04-11 00:00:00+00:00,2014-04-14 00:00:00+00:00,46.051,-1,910,V
V_EVT_20140714_000000_8,2014-07-11 00:00:00+00:00,2014-07-14 00:00:00+00:00,50.5997,1,972,V
V_EVT_20141224_000000_9,2014-12-23 00:00:00+00:00,2014-12-24 00:00:00+00:00,61.6483,1,1087,V
V_EVT_20150224_000000_10,2015-02-23 00:00:00+00:00,2015-02-24 00:00:00+00:00,63.6974,1,1127,V
V_EVT_20150727_000000_11,2015-07-24 00:00:00+00:00,2015-07-27 00:00:00+00:00,69.2398,1,1233,V
V_EVT_20150814_000000_12,2015-08-13 00:00:00+00:00,2015-08-14 00:00:00+00:00,68.9556,1,1247,V
V_EVT_20160414_000000_13,2016-04-13 00:00:00+00:00,2016-04-14 00:00:00+00:00,74.9063,1,1414,V
V_EVT_20160705_000000_14,2016-07-01 00:00:00+00:00,2016-07-05 00:00:00+00:00,69.8526,-1,1470,V
V_EVT_20170206_000000_15,2017-02-03 00:00:00+00:00,2017-02-06 00:00:00+00:00,81.286,1,1619,V
V_EVT_20170213_000000_16,2017-02-10 00:00:00+00:00,2017-02-13 00:00:00+00:00,81.4085,1,1624,V
V_EVT_20170515_000000_17,2017-05-12 00:00:00+00:00,2017-05-15 00:00:00+00:00,87.7422,1,1687,V
V_EVT_20171026_000000_18,2017-10-25 00:00:00+00:00,2017-10-26 00:00:00+00:00,104.801,1,1802,V
V_EVT_20180112_000000_19,2018-01-11 00:00:00+00:00,2018-01-12 00:00:00+00:00,114.257,1,1855,V
V_EVT_20180316_000000_20,2018-03-15 00:00:00+00:00,2018-03-16 00:00:00+00:00,118.0,1,1898,V
V_EVT_20180601_000000_21,2018-05-31 00:00:00+00:00,2018-06-01 00:00:00+00:00,125.799,1,1951,V
V_EVT_20180919_000000_22,2018-09-18 00:00:00+00:00,2018-09-19 00:00:00+00:00,141.706,1,2027,V
V_EVT_20181031_000000_23,2018-10-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,129.053,-1,2057,V
V_EVT_20190529_000000_24,2019-05-28 00:00:00+00:00,2019-05-29 00:00:00+00:00,156.891,1,2199,V
V_EVT_20191008_000000_25,2019-10-07 00:00:00+00:00,2019-10-08 00:00:00+00:00,166.983,-1,2291,V
V_EVT_20200103_000000_26,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,181.584,1,2351,V
V_EVT_20200214_000000_27,2020-02-13 00:00:00+00:00,2020-02-14 00:00:00+00:00,200.999,1,2380,V
V_EVT_20200324_000000_28,2020-03-23 00:00:00+00:00,2020-03-24 00:00:00+00:00,139.782,-1,2406,V
V_EVT_20200430_000000_29,2020-04-29 00:00:00+00:00,2020-04-30 00:00:00+00:00,175.437,1,2432,V
V_EVT_20200608_000000_30,2020-06-05 00:00:00+00:00,2020-06-08 00:00:00+00:00,192.929,1,2458,V
V_EVT_20211129_000000_31,2021-11-26 00:00:00+00:00,2021-11-29 00:00:00+00:00,196.085,-1,2831,V
V_EVT_20220104_000000_32,2022-01-03 00:00:00+00:00,2022-01-04 00:00:00+00:00,216.576,1,2856,V
V_EVT_20220614_000000_33,2022-06-13 00:00:00+00:00,2022-06-14 00:00:00+00:00,188.677,-1,2967,V
V_EVT_20220811_000000_34,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,209.184,1,3007,V
V_EVT_20221007_000000_35,2022-10-06 00:00:00+00:00,2022-10-07 00:00:00+00:00,179.918,-1,3047,V
V_EVT_20230316_000000_36,2023-03-15 00:00:00+00:00,2023-03-16 00:00:00+00:00,211.914,-1,3156,V
V_EVT_20240725_000000_37,2024-07-24 00:00:00+00:00,2024-07-25 00:00:00+00:00,253.968,-1,3497,V
V_EVT_20240913_000000_38,2024-09-12 00:00:00+00:00,2024-09-13 00:00:00+00:00,285.466,1,3532,V
V_EVT_20241017_000000_39,2024-10-16 00:00:00+00:00,2024-10-17 00:00:00+00:00,287.538,1,3556,V
V_EVT_20250528_000000_40,2025-05-27 00:00:00+00:00,2025-05-28 00:00:00+00:00,359.505,1,3707,V
V_EVT_20250611_000000_41,2025-06-10 00:00:00+00:00,2025-06-11 00:00:00+00:00,370.295,1,3717,V
V_EVT_20250806_000000_42,2025-08-05 00:00:00+00:00,2025-08-06 00:00:00+00:00,338.295,-1,3755,V
