event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
WFC_EVT_20101209_000000_0,2010-12-08 00:00:00+00:00,2010-12-09 00:00:00+00:00,21.2667,1,71,WFC
WFC_EVT_20110202_000000_1,2011-02-01 00:00:00+00:00,2011-02-02 00:00:00+00:00,23.8562,1,108,WFC
WFC_EVT_20110405_000000_2,2011-04-04 00:00:00+00:00,2011-04-05 00:00:00+00:00,22.9137,-1,151,WFC
WFC_EVT_20110808_000000_3,2011-08-05 00:00:00+00:00,2011-08-08 00:00:00+00:00,17.9688,-1,237,WFC
WFC_EVT_20110913_000000_4,2011-09-12 00:00:00+00:00,2011-09-13 00:00:00+00:00,17.7054,-1,262,WFC
WFC_EVT_20111221_000000_5,2011-12-20 00:00:00+00:00,2011-12-21 00:00:00+00:00,19.4125,1,332,WFC
WFC_EVT_20130801_000000_6,2013-07-31 00:00:00+00:00,2013-08-01 00:00:00+00:00,33.666,1,735,WFC
WFC_EVT_20140116_000000_7,2014-01-15 00:00:00+00:00,2014-01-16 00:00:00+00:00,35.7698,1,851,WFC
WFC_EVT_20140508_000000_8,2014-05-07 00:00:00+00:00,2014-05-08 00:00:00+00:00,38.6562,1,928,WFC
WFC_EVT_20150130_000000_9,2015-01-29 00:00:00+00:00,2015-01-30 00:00:00+00:00,41.442,-1,1112,WFC
WFC_EVT_20150420_000000_10,2015-04-17 00:00:00+00:00,2015-04-20 00:00:00+00:00,43.4946,-1,1166,WFC
WFC_EVT_20150925_000000_11,2015-09-24 00:00:00+00:00,2015-09-25 00:00:00+00:00,41.6,-1,1277,WFC
WFC_EVT_20160512_000000_12,2016-05-11 00:00:00+00:00,2016-05-12 00:00:00+00:00,40.8608,1,1435,WFC
WFC_EVT_20160706_000000_13,2016-07-05 00:00:00+00:00,2016-07-06 00:00:00+00:00,38.003,-1,1472,WFC
WFC_EVT_20161121_000000_14,2016-11-18 00:00:00+00:00,2016-11-21 00:00:00+00:00,44.4834,1,1569,WFC
WFC_EVT_20170302_000000_15,2017-03-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,50.6608,1,1637,WFC
WFC_EVT_20170526_000000_16,2017-05-25 00:00:00+00:00,2017-05-26 00:00:00+00:00,44.9136,-1,1697,WFC
WFC_EVT_20170718_000000_17,2017-07-17 00:00:00+00:00,2017-07-18 00:00:00+00:00,46.3475,1,1732,WFC
WFC_EVT_20170829_000000_18,2017-08-28 00:00:00+00:00,2017-08-29 00:00:00+00:00,44.0186,-1,1762,WFC
WFC_EVT_20171023_000000_19,2017-10-20 00:00:00+00:00,2017-10-23 00:00:00+00:00,47.0639,1,1800,WFC
WFC_EVT_20171106_000000_20,2017-11-03 00:00:00+00:00,2017-11-06 00:00:00+00:00,48.5598,1,1810,WFC
WFC_EVT_20171222_000000_21,2017-12-21 00:00:00+00:00,2017-12-22 00:00:00+00:00,53.6677,1,1843,WFC
WFC_EVT_20171229_000000_22,2017-12-28 00:00:00+00:00,2017-12-29 00:00:00+00:00,53.2009,1,1847,WFC
WFC_EVT_20180319_000000_23,2018-03-16 00:00:00+00:00,2018-03-19 00:00:00+00:00,48.6556,-1,1900,WFC
WFC_EVT_20181012_000000_24,2018-10-11 00:00:00+00:00,2018-10-12 00:00:00+00:00,46.0426,-1,2045,WFC
WFC_EVT_20190109_000000_25,2019-01-08 00:00:00+00:00,2019-01-09 00:00:00+00:00,42.3262,-1,2104,WFC
WFC_EVT_20190530_000000_26,2019-05-29 00:00:00+00:00,2019-05-30 00:00:00+00:00,41.4706,-1,2201,WFC
WFC_EVT_20200617_000000_27,2020-06-16 00:00:00+00:00,2020-06-17 00:00:00+00:00,27.233,1,2466,WFC
WFC_EVT_20200715_000000_28,2020-07-14 00:00:00+00:00,2020-07-15 00:00:00+00:00,23.871,-1,2485,WFC
WFC_EVT_20201027_000000_29,2020-10-26 00:00:00+00:00,2020-10-27 00:00:00+00:00,21.695,-1,2558,WFC
WFC_EVT_20210309_000000_30,2021-03-08 00:00:00+00:00,2021-03-09 00:00:00+00:00,36.9096,1,2648,WFC
WFC_EVT_20210517_000000_31,2021-05-14 00:00:00+00:00,2021-05-17 00:00:00+00:00,45.4693,1,2696,WFC
WFC_EVT_20210823_000000_32,2021-08-20 00:00:00+00:00,2021-08-23 00:00:00+00:00,46.4748,1,2764,WFC
WFC_EVT_20220126_000000_33,2022-01-25 00:00:00+00:00,2022-01-26 00:00:00+00:00,52.673,1,2872,WFC
WFC_EVT_20220208_000000_34,2022-02-07 00:00:00+00:00,2022-02-08 00:00:00+00:00,56.9241,1,2881,WFC
WFC_EVT_20220418_000000_35,2022-04-14 00:00:00+00:00,2022-04-18 00:00:00+00:00,45.3626,-1,2928,WFC
WFC_EVT_20220506_000000_36,2022-05-05 00:00:00+00:00,2022-05-06 00:00:00+00:00,44.0216,-1,2942,WFC
WFC_EVT_20221222_000000_37,2022-12-21 00:00:00+00:00,2022-12-22 00:00:00+00:00,40.71,-1,3101,WFC
WFC_EVT_20230403_000000_38,2023-03-31 00:00:00+00:00,2023-04-03 00:00:00+00:00,37.52,-1,3169,WFC
WFC_EVT_20230505_000000_39,2023-05-04 00:00:00+00:00,2023-05-05 00:00:00+00:00,37.46,-1,3192,WFC
WFC_EVT_20231003_000000_40,2023-10-02 00:00:00+00:00,2023-10-03 00:00:00+00:00,39.38,-1,3295,WFC
WFC_EVT_20240809_000000_41,2024-08-08 00:00:00+00:00,2024-08-09 00:00:00+00:00,52.3,-1,3509,WFC
WFC_EVT_20240913_000000_42,2024-09-12 00:00:00+00:00,2024-09-13 00:00:00+00:00,51.86,-1,3533,WFC
WFC_EVT_20250213_000000_43,2025-02-12 00:00:00+00:00,2025-02-13 00:00:00+00:00,79.365,1,3637,WFC
WFC_EVT_20250404_000000_44,2025-04-03 00:00:00+00:00,2025-04-04 00:00:00+00:00,62.75,-1,3672,WFC
WFC_EVT_20250710_000000_45,2025-07-09 00:00:00+00:00,2025-07-10 00:00:00+00:00,81.61,1,3737,WFC
WFC_EVT_20250724_000000_46,2025-07-23 00:00:00+00:00,2025-07-24 00:00:00+00:00,83.84,1,3747,WFC
