event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
WMT_EVT_20110207_000000_0,2011-02-04 00:00:00+00:00,2011-02-07 00:00:00+00:00,14.1958,1,111,WMT
WMT_EVT_20110627_000000_1,2011-06-24 00:00:00+00:00,2011-06-27 00:00:00+00:00,13.3442,-1,208,WMT
WMT_EVT_20111207_000000_2,2011-12-06 00:00:00+00:00,2011-12-07 00:00:00+00:00,14.9748,1,322,WMT
WMT_EVT_20130320_000000_3,2013-03-19 00:00:00+00:00,2013-03-20 00:00:00+00:00,19.2695,1,642,WMT
WMT_EVT_20130506_000000_4,2013-05-03 00:00:00+00:00,2013-05-06 00:00:00+00:00,20.9333,1,674,WMT
WMT_EVT_20130730_000000_5,2013-07-29 00:00:00+00:00,2013-07-30 00:00:00+00:00,20.8243,1,733,WMT
WMT_EVT_20131204_000000_6,2013-12-03 00:00:00+00:00,2013-12-04 00:00:00+00:00,21.726,1,822,WMT
WMT_EVT_20140221_000000_7,2014-02-20 00:00:00+00:00,2014-02-21 00:00:00+00:00,19.718,-1,875,WMT
WMT_EVT_20140731_000000_8,2014-07-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,20.1872,-1,986,WMT
WMT_EVT_20141215_000000_9,2014-12-12 00:00:00+00:00,2014-12-15 00:00:00+00:00,23.2694,1,1081,WMT
WMT_EVT_20150108_000000_10,2015-01-07 00:00:00+00:00,2015-01-08 00:00:00+00:00,24.6359,1,1097,WMT
WMT_EVT_20150615_000000_11,2015-06-12 00:00:00+00:00,2015-06-15 00:00:00+00:00,20.1856,-1,1205,WMT
WMT_EVT_20150923_000000_12,2015-09-22 00:00:00+00:00,2015-09-23 00:00:00+00:00,17.9368,-1,1275,WMT
WMT_EVT_20151102_000000_13,2015-10-30 00:00:00+00:00,2015-11-02 00:00:00+00:00,16.1264,-1,1303,WMT
WMT_EVT_20160226_000000_14,2016-02-25 00:00:00+00:00,2016-02-26 00:00:00+00:00,19.3236,1,1382,WMT
WMT_EVT_20160725_000000_15,2016-07-22 00:00:00+00:00,2016-07-25 00:00:00+00:00,21.1851,1,1485,WMT
WMT_EVT_20161021_000000_16,2016-10-20 00:00:00+00:00,2016-10-21 00:00:00+00:00,19.8186,-1,1548,WMT
WMT_EVT_20170308_000000_17,2017-03-07 00:00:00+00:00,2017-03-08 00:00:00+00:00,20.5048,1,1641,WMT
WMT_EVT_20170403_000000_18,2017-03-31 00:00:00+00:00,2017-04-03 00:00:00+00:00,21.2085,1,1659,WMT
WMT_EVT_20170419_000000_19,2017-04-18 00:00:00+00:00,2017-04-19 00:00:00+00:00,21.8029,1,1670,WMT
WMT_EVT_20170519_000000_20,2017-05-18 00:00:00+00:00,2017-05-19 00:00:00+00:00,23.0945,1,1692,WMT
WMT_EVT_20170612_000000_21,2017-06-09 00:00:00+00:00,2017-06-12 00:00:00+00:00,23.5188,1,1707,WMT
WMT_EVT_20170711_000000_22,2017-07-10 00:00:00+00:00,2017-07-11 00:00:00+00:00,21.7351,-1,1727,WMT
WMT_EVT_20171101_000000_23,2017-10-31 00:00:00+00:00,2017-11-01 00:00:00+00:00,25.9523,1,1807,WMT
WMT_EVT_20180806_000000_24,2018-08-03 00:00:00+00:00,2018-08-06 00:00:00+00:00,27.0899,1,1997,WMT
WMT_EVT_20181221_000000_25,2018-12-20 00:00:00+00:00,2018-12-21 00:00:00+00:00,26.647,-1,2093,WMT
WMT_EVT_20190415_000000_26,2019-04-12 00:00:00+00:00,2019-04-15 00:00:00+00:00,31.2399,1,2170,WMT
WMT_EVT_20190725_000000_27,2019-07-24 00:00:00+00:00,2019-07-25 00:00:00+00:00,34.7823,1,2240,WMT
WMT_EVT_20210319_000000_28,2021-03-18 00:00:00+00:00,2021-03-19 00:00:00+00:00,41.5757,-1,2656,WMT
WMT_EVT_20210823_000000_29,2021-08-20 00:00:00+00:00,2021-08-23 00:00:00+00:00,48.7857,1,2764,WMT
WMT_EVT_20211105_000000_30,2021-11-04 00:00:00+00:00,2021-11-05 00:00:00+00:00,48.9357,1,2817,WMT
WMT_EVT_20211209_000000_31,2021-12-08 00:00:00+00:00,2021-12-09 00:00:00+00:00,44.1647,-1,2840,WMT
WMT_EVT_20220329_000000_32,2022-03-28 00:00:00+00:00,2022-03-29 00:00:00+00:00,47.5717,1,2915,WMT
WMT_EVT_20230705_000000_33,2023-07-03 00:00:00+00:00,2023-07-05 00:00:00+00:00,52.339,1,3232,WMT
WMT_EVT_20231103_000000_34,2023-11-02 00:00:00+00:00,2023-11-03 00:00:00+00:00,55.0887,1,3318,WMT
WMT_EVT_20231201_000000_35,2023-11-30 00:00:00+00:00,2023-12-01 00:00:00+00:00,51.6017,-1,3337,WMT
WMT_EVT_20231207_000000_36,2023-12-06 00:00:00+00:00,2023-12-07 00:00:00+00:00,51.45,-1,3341,WMT
WMT_EVT_20240604_000000_37,2024-06-03 00:00:00+00:00,2024-06-04 00:00:00+00:00,65.99,1,3463,WMT
WMT_EVT_20240716_000000_38,2024-07-15 00:00:00+00:00,2024-07-16 00:00:00+00:00,69.82,1,3491,WMT
WMT_EVT_20241211_000000_39,2024-12-10 00:00:00+00:00,2024-12-11 00:00:00+00:00,94.55,1,3595,WMT
WMT_EVT_20250519_000000_40,2025-05-16 00:00:00+00:00,2025-05-19 00:00:00+00:00,96.65,1,3702,WMT
WMT_EVT_20250819_000000_41,2025-08-18 00:00:00+00:00,2025-08-19 00:00:00+00:00,100.95,1,3765,WMT
