event_id,t_signal,t_entry,entry_price,direction,t_entry_idx,symbol
XOM_EVT_20101202_000000_0,2010-12-01 00:00:00+00:00,2010-12-02 00:00:00+00:00,44.3055,1,66,XOM
XOM_EVT_20101220_000000_1,2010-12-17 00:00:00+00:00,2010-12-20 00:00:00+00:00,44.9591,1,78,XOM
XOM_EVT_20110112_000000_2,2011-01-11 00:00:00+00:00,2011-01-12 00:00:00+00:00,47.2609,1,94,XOM
XOM_EVT_20110304_000000_3,2011-03-03 00:00:00+00:00,2011-03-04 00:00:00+00:00,53.4723,1,129,XOM
XOM_EVT_20110406_000000_4,2011-04-05 00:00:00+00:00,2011-04-06 00:00:00+00:00,53.3536,1,152,XOM
XOM_EVT_20110613_000000_5,2011-06-10 00:00:00+00:00,2011-06-13 00:00:00+00:00,50.0675,-1,198,XOM
XOM_EVT_20110720_000000_6,2011-07-19 00:00:00+00:00,2011-07-20 00:00:00+00:00,52.4726,1,224,XOM
XOM_EVT_20120515_000000_7,2012-05-14 00:00:00+00:00,2012-05-15 00:00:00+00:00,52.6135,-1,431,XOM
XOM_EVT_20120518_000000_8,2012-05-17 00:00:00+00:00,2012-05-18 00:00:00+00:00,52.8509,-1,434,XOM
XOM_EVT_20120907_000000_9,2012-09-06 00:00:00+00:00,2012-09-07 00:00:00+00:00,57.6501,1,511,XOM
XOM_EVT_20130313_000000_10,2013-03-12 00:00:00+00:00,2013-03-13 00:00:00+00:00,58.2191,1,637,XOM
XOM_EVT_20130529_000000_11,2013-05-28 00:00:00+00:00,2013-05-29 00:00:00+00:00,60.4248,1,690,XOM
XOM_EVT_20131001_000000_12,2013-09-30 00:00:00+00:00,2013-10-01 00:00:00+00:00,57.0152,-1,777,XOM
XOM_EVT_20131204_000000_13,2013-12-03 00:00:00+00:00,2013-12-04 00:00:00+00:00,62.8755,1,822,XOM
XOM_EVT_20140415_000000_14,2014-04-14 00:00:00+00:00,2014-04-15 00:00:00+00:00,65.6004,1,912,XOM
XOM_EVT_20140909_000000_15,2014-09-08 00:00:00+00:00,2014-09-09 00:00:00+00:00,66.5836,-1,1013,XOM
XOM_EVT_20150129_000000_16,2015-01-28 00:00:00+00:00,2015-01-29 00:00:00+00:00,60.4258,-1,1111,XOM
XOM_EVT_20150803_000000_17,2015-07-31 00:00:00+00:00,2015-08-03 00:00:00+00:00,55.2996,-1,1239,XOM
XOM_EVT_20151023_000000_18,2015-10-22 00:00:00+00:00,2015-10-23 00:00:00+00:00,58.4486,1,1297,XOM
XOM_EVT_20160203_000000_19,2016-02-02 00:00:00+00:00,2016-02-03 00:00:00+00:00,54.0373,-1,1366,XOM
XOM_EVT_20160914_000000_20,2016-09-13 00:00:00+00:00,2016-09-14 00:00:00+00:00,62.4379,-1,1521,XOM
XOM_EVT_20170221_000000_21,2017-02-17 00:00:00+00:00,2017-02-21 00:00:00+00:00,61.3817,-1,1630,XOM
XOM_EVT_20170728_000000_22,2017-07-27 00:00:00+00:00,2017-07-28 00:00:00+00:00,60.099,-1,1740,XOM
XOM_EVT_20170831_000000_23,2017-08-30 00:00:00+00:00,2017-08-31 00:00:00+00:00,58.1063,-1,1764,XOM
XOM_EVT_20171004_000000_24,2017-10-03 00:00:00+00:00,2017-10-04 00:00:00+00:00,62.3182,1,1787,XOM
XOM_EVT_20180109_000000_25,2018-01-08 00:00:00+00:00,2018-01-09 00:00:00+00:00,66.8463,1,1853,XOM
XOM_EVT_20181002_000000_26,2018-10-01 00:00:00+00:00,2018-10-02 00:00:00+00:00,68.0152,1,2037,XOM
XOM_EVT_20181214_000000_27,2018-12-13 00:00:00+00:00,2018-12-14 00:00:00+00:00,61.4352,-1,2088,XOM
XOM_EVT_20190111_000000_28,2019-01-10 00:00:00+00:00,2019-01-11 00:00:00+00:00,57.5344,-1,2106,XOM
XOM_EVT_20190613_000000_29,2019-06-12 00:00:00+00:00,2019-06-13 00:00:00+00:00,61.1745,-1,2211,XOM
XOM_EVT_20190812_000000_30,2019-08-09 00:00:00+00:00,2019-08-12 00:00:00+00:00,58.0879,-1,2252,XOM
XOM_EVT_20191021_000000_31,2019-10-18 00:00:00+00:00,2019-10-21 00:00:00+00:00,56.2303,-1,2301,XOM
XOM_EVT_20200103_000000_32,2020-01-02 00:00:00+00:00,2020-01-03 00:00:00+00:00,59.8617,1,2352,XOM
XOM_EVT_20200210_000000_33,2020-02-07 00:00:00+00:00,2020-02-10 00:00:00+00:00,51.4777,-1,2377,XOM
XOM_EVT_20200219_000000_34,2020-02-18 00:00:00+00:00,2020-02-19 00:00:00+00:00,51.1636,-1,2383,XOM
XOM_EVT_20200330_000000_35,2020-03-27 00:00:00+00:00,2020-03-30 00:00:00+00:00,30.8363,-1,2411,XOM
XOM_EVT_20200506_000000_36,2020-05-05 00:00:00+00:00,2020-05-06 00:00:00+00:00,38.2418,1,2437,XOM
XOM_EVT_20200901_000000_37,2020-08-31 00:00:00+00:00,2020-09-01 00:00:00+00:00,35.1707,-1,2519,XOM
XOM_EVT_20210208_000000_38,2021-02-05 00:00:00+00:00,2021-02-08 00:00:00+00:00,46.1396,1,2628,XOM
XOM_EVT_20210820_000000_39,2021-08-19 00:00:00+00:00,2021-08-20 00:00:00+00:00,49.6085,-1,2763,XOM
XOM_EVT_20211101_000000_40,2021-10-29 00:00:00+00:00,2021-11-01 00:00:00+00:00,61.7523,1,2813,XOM
XOM_EVT_20220512_000000_41,2022-05-11 00:00:00+00:00,2022-05-12 00:00:00+00:00,84.4431,1,2946,XOM
XOM_EVT_20220824_000000_42,2022-08-23 00:00:00+00:00,2022-08-24 00:00:00+00:00,97.2273,1,3017,XOM
XOM_EVT_20230206_000000_43,2023-02-03 00:00:00+00:00,2023-02-06 00:00:00+00:00,112.36,1,3130,XOM
XOM_EVT_20230925_000000_44,2023-09-22 00:00:00+00:00,2023-09-25 00:00:00+00:00,115.09,1,3289,XOM
XOM_EVT_20231122_000000_45,2023-11-21 00:00:00+00:00,2023-11-22 00:00:00+00:00,102.58,-1,3331,XOM
XOM_EVT_20240117_000000_46,2024-01-16 00:00:00+00:00,2024-01-17 00:00:00+00:00,96.6,-1,3367,XOM
XOM_EVT_20240306_000000_47,2024-03-05 00:00:00+00:00,2024-03-06 00:00:00+00:00,106.62,1,3401,XOM
XOM_EVT_20240419_000000_48,2024-04-18 00:00:00+00:00,2024-04-19 00:00:00+00:00,119.155,1,3432,XOM
XOM_EVT_20240709_000000_49,2024-07-08 00:00:00+00:00,2024-07-09 00:00:00+00:00,111.11,-1,3486,XOM
XOM_EVT_20241011_000000_50,2024-10-10 00:00:00+00:00,2024-10-11 00:00:00+00:00,123.1,1,3553,XOM
XOM_EVT_20250306_000000_51,2025-03-05 00:00:00+00:00,2025-03-06 00:00:00+00:00,105.43,-1,3651,XOM
XOM_EVT_20250401_000000_52,2025-03-31 00:00:00+00:00,2025-04-01 00:00:00+00:00,119.22,1,3669,XOM
XOM_EVT_20250725_000000_53,2025-07-24 00:00:00+00:00,2025-07-25 00:00:00+00:00,110.73,1,3748,XOM
