symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
amzn,2011-03-07 00:00:00+00:00,AMZN_EVT_20110307_000000_0,2011-03-04 00:00:00+00:00,8.5925,-1,130,timestamp,0.21899134521791067,8.154517309564177,8.81149134521791,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2011-03-18 00:00:00+00:00,AMZN_EVT_20110318_000000_1,2011-03-17 00:00:00+00:00,8.063,-1,139,timestamp,0.22986740846874282,7.603265183062515,8.292867408468743,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2011-06-17 00:00:00+00:00,AMZN_EVT_20110617_000000_2,2011-06-16 00:00:00+00:00,9.3255,-1,202,timestamp,0.24397924552019154,8.837541508959617,9.569479245520192,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2011-07-20 00:00:00+00:00,AMZN_EVT_20110720_000000_3,2011-07-19 00:00:00+00:00,11.0015,1,224,timestamp,0.2610227987426955,11.523545597485391,10.740477201257304,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2011-12-23 00:00:00+00:00,AMZN_EVT_20111223_000000_4,2011-12-22 00:00:00+00:00,8.961,-1,334,timestamp,0.37338971367090495,8.21422057265819,9.334389713670905,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2012-11-01 00:00:00+00:00,AMZN_EVT_20121101_000000_5,2012-10-31 00:00:00+00:00,11.7115,-1,548,timestamp,0.3287705488435092,11.053958902312981,12.040270548843509,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2012-12-19 00:00:00+00:00,AMZN_EVT_20121219_000000_6,2012-12-18 00:00:00+00:00,13.065,1,581,timestamp,0.2762099003257476,13.617419800651495,12.788790099674252,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2013-01-25 00:00:00+00:00,AMZN_EVT_20130125_000000_7,2013-01-24 00:00:00+00:00,13.75,1,605,timestamp,0.27050986829341,14.29101973658682,13.47949013170659,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2013-07-22 00:00:00+00:00,AMZN_EVT_20130722_000000_8,2013-07-19 00:00:00+00:00,15.4625,1,727,timestamp,0.27832537531502727,16.019150750630054,15.184174624684973,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2013-11-15 00:00:00+00:00,AMZN_EVT_20131115_000000_9,2013-11-14 00:00:00+00:00,18.3815,1,810,timestamp,0.4381772064230982,19.257854412846196,17.9433227935769,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2014-05-16 00:00:00+00:00,AMZN_EVT_20140516_000000_10,2014-05-15 00:00:00+00:00,14.64,-1,934,timestamp,0.5134227195522567,13.613154560895488,15.153422719552257,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2014-10-07 00:00:00+00:00,AMZN_EVT_20141007_000000_11,2014-10-06 00:00:00+00:00,15.9715,-1,1033,timestamp,0.343372133381739,15.284755733236523,16.31487213338174,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2014-11-05 00:00:00+00:00,AMZN_EVT_20141105_000000_12,2014-11-04 00:00:00+00:00,15.1505,-1,1054,timestamp,0.38660476452063575,14.377290470958728,15.537104764520635,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2015-01-13 00:00:00+00:00,AMZN_EVT_20150113_000000_13,2015-01-12 00:00:00+00:00,14.874,-1,1100,timestamp,0.37197486133632984,14.13005027732734,15.24597486133633,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2015-04-27 00:00:00+00:00,AMZN_EVT_20150427_000000_14,2015-04-24 00:00:00+00:00,22.193,1,1171,timestamp,0.4982384434596323,23.189476886919266,21.69476155654037,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2015-07-30 00:00:00+00:00,AMZN_EVT_20150730_000000_15,2015-07-29 00:00:00+00:00,26.3825,1,1237,timestamp,0.671732388680906,27.725964777361813,25.710767611319095,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2016-05-02 00:00:00+00:00,AMZN_EVT_20160502_000000_16,2016-04-29 00:00:00+00:00,33.196,1,1427,timestamp,0.8636856300035648,34.92337126000713,32.33231436999643,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2016-08-30 00:00:00+00:00,AMZN_EVT_20160830_000000_17,2016-08-29 00:00:00+00:00,38.5525,1,1511,timestamp,0.4361745648838583,39.42484912976772,38.116325435116146,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2017-08-24 00:00:00+00:00,AMZN_EVT_20170824_000000_18,2017-08-23 00:00:00+00:00,47.871,-1,1759,timestamp,0.8408514908485918,46.18929701830282,48.711851490848595,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2018-11-06 00:00:00+00:00,AMZN_EVT_20181106_000000_19,2018-11-05 00:00:00+00:00,80.9175,-1,2062,timestamp,3.538776700161578,73.83994659967685,84.45627670016158,True,AMZN_1d_15y.parquet,AMZN_events.csv
amzn,2019-03-29 00:00:00+00:00,AMZN_EVT_20190329_000000_20,2019-03-28 00:00:00+00:00,89.329,1,2159,timestamp,1.8779045409199449,93.08480908183988,87.45109545908005,True,AMZN_1d_15y.parquet,AMZN_events.csv
