symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
crm,2010-10-15 00:00:00+00:00,CRM_EVT_20101015_000000_0,2010-10-14 00:00:00+00:00,27.125,-1,33,timestamp,1.0469266542124804,25.03114669157504,28.17192665421248,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2011-03-08 00:00:00+00:00,CRM_EVT_20110308_000000_1,2011-03-07 00:00:00+00:00,31.86,-1,130,timestamp,1.3116824652436665,29.236635069512666,33.17168246524366,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2011-07-18 00:00:00+00:00,CRM_EVT_20110718_000000_2,2011-07-15 00:00:00+00:00,38.44,1,221,timestamp,1.0289743488519751,40.49794869770395,37.41102565114802,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2012-12-12 00:00:00+00:00,CRM_EVT_20121212_000000_3,2012-12-11 00:00:00+00:00,41.295,1,575,timestamp,0.9749435099675275,43.24488701993506,40.32005649003247,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2013-08-09 00:00:00+00:00,CRM_EVT_20130809_000000_4,2013-08-08 00:00:00+00:00,45.23,1,740,timestamp,1.129810939189214,47.48962187837842,44.100189060810784,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2013-09-03 00:00:00+00:00,CRM_EVT_20130903_000000_5,2013-08-30 00:00:00+00:00,49.46,1,756,timestamp,1.3016700203313478,52.063340040662695,48.15832997966865,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2013-10-21 00:00:00+00:00,CRM_EVT_20131021_000000_6,2013-10-18 00:00:00+00:00,56.15,1,790,timestamp,1.3707302216195207,58.89146044323904,54.77926977838048,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2014-09-09 00:00:00+00:00,CRM_EVT_20140909_000000_7,2014-09-08 00:00:00+00:00,60.5,1,1012,timestamp,1.4511931369310855,63.40238627386217,59.04880686306891,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2014-11-07 00:00:00+00:00,CRM_EVT_20141107_000000_8,2014-11-06 00:00:00+00:00,63.61,1,1055,timestamp,1.7372471442488495,67.0844942884977,61.87275285575115,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2015-04-08 00:00:00+00:00,CRM_EVT_20150408_000000_9,2015-04-07 00:00:00+00:00,68.26,1,1157,timestamp,1.6080997089814417,71.47619941796289,66.65190029101856,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2015-09-01 00:00:00+00:00,CRM_EVT_20150901_000000_10,2015-08-31 00:00:00+00:00,67.86,-1,1259,timestamp,2.085988434207828,63.688023131584345,69.94598843420783,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2016-01-26 00:00:00+00:00,CRM_EVT_20160126_000000_11,2016-01-25 00:00:00+00:00,69.96,-1,1359,timestamp,2.1195729800036576,65.72085403999267,72.07957298000365,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2016-02-03 00:00:00+00:00,CRM_EVT_20160203_000000_12,2016-02-02 00:00:00+00:00,65.42,-1,1365,timestamp,2.2220952204385536,60.975809559122894,67.64209522043855,True,CRM_1d_15y.parquet,CRM_events.csv
crm,2016-04-26 00:00:00+00:00,CRM_EVT_20160426_000000_13,2016-04-25 00:00:00+00:00,76.8,1,1422,timestamp,1.644236039342409,80.08847207868482,75.1557639606576,True,CRM_1d_15y.parquet,CRM_events.csv
