symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
dhr,2011-10-04 00:00:00+00:00,DHR_EVT_20111004_000000_0,2011-10-03 00:00:00+00:00,28.8035,-1,277,timestamp,1.140340056126613,26.522819887746774,29.943840056126614,True,DHR_1d_15y.parquet,DHR_events.csv
dhr,2012-01-13 00:00:00+00:00,DHR_EVT_20120113_000000_1,2012-01-12 00:00:00+00:00,36.3217,1,347,timestamp,0.7996165950795765,37.920933190159154,35.52208340492042,True,DHR_1d_15y.parquet,DHR_events.csv
dhr,2012-02-22 00:00:00+00:00,DHR_EVT_20120222_000000_2,2012-02-21 00:00:00+00:00,38.3431,1,373,timestamp,0.6363267842443975,39.61575356848879,37.706773215755604,True,DHR_1d_15y.parquet,DHR_events.csv
dhr,2012-04-02 00:00:00+00:00,DHR_EVT_20120402_000000_3,2012-03-30 00:00:00+00:00,40.4628,1,401,timestamp,0.558986790790875,41.58077358158175,39.903813209209126,True,DHR_1d_15y.parquet,DHR_events.csv
dhr,2012-06-11 00:00:00+00:00,DHR_EVT_20120611_000000_4,2012-06-08 00:00:00+00:00,37.4216,-1,449,timestamp,0.7254310050206992,35.9707379899586,38.1470310050207,True,DHR_1d_15y.parquet,DHR_events.csv
dhr,2012-10-12 00:00:00+00:00,DHR_EVT_20121012_000000_5,2012-10-11 00:00:00+00:00,40.5741,1,536,timestamp,0.6716719495890224,41.917443899178046,39.902428050410975,True,DHR_1d_15y.parquet,DHR_events.csv
dhr,2013-07-22 00:00:00+00:00,DHR_EVT_20130722_000000_6,2013-07-19 00:00:00+00:00,49.7641,1,727,timestamp,0.8008087438364455,51.36571748767289,48.96329125616355,True,DHR_1d_15y.parquet,DHR_events.csv
dhr,2013-10-18 00:00:00+00:00,DHR_EVT_20131018_000000_7,2013-10-17 00:00:00+00:00,52.6344,1,790,timestamp,0.7558747131645226,54.146149426329046,51.878525286835476,True,DHR_1d_15y.parquet,DHR_events.csv
dhr,2014-02-27 00:00:00+00:00,DHR_EVT_20140227_000000_8,2014-02-26 00:00:00+00:00,55.3124,1,879,timestamp,0.7942611992944725,56.90092239858894,54.51813880070552,True,DHR_1d_15y.parquet,DHR_events.csv
dhr,2014-06-20 00:00:00+00:00,DHR_EVT_20140620_000000_9,2014-06-19 00:00:00+00:00,58.1789,1,958,timestamp,0.6391476023374189,59.45719520467484,57.53975239766258,True,DHR_1d_15y.parquet,DHR_events.csv
