symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
f,2011-02-11 00:00:00+00:00,F_EVT_20110211_000000_0,2011-02-10 00:00:00+00:00,9.46099,-1,115,timestamp,0.2992504066230548,8.86248918675389,9.760240406623055,True,F_1d_15y.parquet,F_events.csv
f,2011-07-11 00:00:00+00:00,F_EVT_20110711_000000_1,2011-07-08 00:00:00+00:00,8.03733,-1,217,timestamp,0.21606872729897408,7.605192545402053,8.253398727298976,True,F_1d_15y.parquet,F_events.csv
f,2011-10-28 00:00:00+00:00,F_EVT_20111028_000000_2,2011-10-27 00:00:00+00:00,7.04887,1,295,timestamp,0.2921600797413241,7.633190159482648,6.756709920258676,True,F_1d_15y.parquet,F_events.csv
f,2012-10-19 00:00:00+00:00,F_EVT_20121019_000000_3,2012-10-18 00:00:00+00:00,6.22487,1,541,timestamp,0.12050871299886431,6.465887425997729,6.104361287001136,True,F_1d_15y.parquet,F_events.csv
f,2013-05-03 00:00:00+00:00,F_EVT_20130503_000000_4,2013-05-02 00:00:00+00:00,8.27158,1,673,timestamp,0.17962330656290834,8.630826613125818,8.091956693437092,True,F_1d_15y.parquet,F_events.csv
f,2013-06-10 00:00:00+00:00,F_EVT_20130610_000000_5,2013-06-07 00:00:00+00:00,9.66084,1,698,timestamp,0.22520389999881738,10.111247799997635,9.435636100001183,True,F_1d_15y.parquet,F_events.csv
f,2013-09-17 00:00:00+00:00,F_EVT_20130917_000000_6,2013-09-16 00:00:00+00:00,10.6297,1,767,timestamp,0.21715768457722784,11.064015369154456,10.412542315422773,True,F_1d_15y.parquet,F_events.csv
f,2013-10-22 00:00:00+00:00,F_EVT_20131022_000000_7,2013-10-21 00:00:00+00:00,10.7535,1,792,timestamp,0.1914769626629728,11.136453925325947,10.562023037337028,True,F_1d_15y.parquet,F_events.csv
f,2014-02-03 00:00:00+00:00,F_EVT_20140203_000000_8,2014-01-31 00:00:00+00:00,9.31949,-1,862,timestamp,0.209180222865315,8.901129554269371,9.528670222865316,True,F_1d_15y.parquet,F_events.csv
f,2014-05-30 00:00:00+00:00,F_EVT_20140530_000000_9,2014-05-29 00:00:00+00:00,10.2806,1,943,timestamp,0.14734035678351975,10.57528071356704,10.13325964321648,True,F_1d_15y.parquet,F_events.csv
f,2014-09-23 00:00:00+00:00,F_EVT_20140923_000000_10,2014-09-22 00:00:00+00:00,10.2848,-1,1023,timestamp,0.1561867330646132,9.972426533870774,10.440986733064614,True,F_1d_15y.parquet,F_events.csv
f,2014-10-01 00:00:00+00:00,F_EVT_20141001_000000_11,2014-09-30 00:00:00+00:00,9.31339,-1,1029,timestamp,0.2060784526896338,8.901233094620732,9.519468452689633,True,F_1d_15y.parquet,F_events.csv
f,2014-12-02 00:00:00+00:00,F_EVT_20141202_000000_12,2014-12-01 00:00:00+00:00,10.077,1,1072,timestamp,0.19911725710460554,10.47523451420921,9.877882742895395,True,F_1d_15y.parquet,F_events.csv
f,2015-02-19 00:00:00+00:00,F_EVT_20150219_000000_13,2015-02-18 00:00:00+00:00,10.4042,1,1125,timestamp,0.20757537249547264,10.819350744990945,10.196624627504526,True,F_1d_15y.parquet,F_events.csv
f,2015-06-15 00:00:00+00:00,F_EVT_20150615_000000_14,2015-06-12 00:00:00+00:00,9.76864,-1,1205,timestamp,0.1492091620434926,9.470221675913015,9.917849162043492,True,F_1d_15y.parquet,F_events.csv
f,2015-07-28 00:00:00+00:00,F_EVT_20150728_000000_15,2015-07-27 00:00:00+00:00,9.70508,-1,1235,timestamp,0.17782019724513268,9.349439605509735,9.882900197245133,True,F_1d_15y.parquet,F_events.csv
f,2016-04-22 00:00:00+00:00,F_EVT_20160422_000000_16,2016-04-21 00:00:00+00:00,9.3266,1,1421,timestamp,0.20736517837476037,9.74133035674952,9.11923482162524,True,F_1d_15y.parquet,F_events.csv
