symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
jnj,2011-03-14 00:00:00+00:00,JNJ_EVT_20110314_000000_0,2011-03-11 00:00:00+00:00,42.5437,-1,135,timestamp,0.4811160782126143,41.58146784357477,43.024816078212616,True,JNJ_1d_15y.parquet,JNJ_events.csv
jnj,2011-04-18 00:00:00+00:00,JNJ_EVT_20110418_000000_1,2011-04-15 00:00:00+00:00,43.2282,1,160,timestamp,0.42992478005629675,44.088049560112594,42.798275219943704,True,JNJ_1d_15y.parquet,JNJ_events.csv
jnj,2011-08-19 00:00:00+00:00,JNJ_EVT_20110819_000000_2,2011-08-18 00:00:00+00:00,45.3111,-1,246,timestamp,0.9578453200659128,43.395409359868175,46.26894532006592,True,JNJ_1d_15y.parquet,JNJ_events.csv
jnj,2012-02-02 00:00:00+00:00,JNJ_EVT_20120202_000000_3,2012-02-01 00:00:00+00:00,48.4326,1,360,timestamp,0.5487457800392143,49.53009156007843,47.88385421996079,True,JNJ_1d_15y.parquet,JNJ_events.csv
jnj,2012-06-11 00:00:00+00:00,JNJ_EVT_20120611_000000_4,2012-06-08 00:00:00+00:00,47.1195,-1,449,timestamp,0.479434090704828,46.160631818590346,47.59893409070483,True,JNJ_1d_15y.parquet,JNJ_events.csv
jnj,2012-10-02 00:00:00+00:00,JNJ_EVT_20121002_000000_5,2012-10-01 00:00:00+00:00,52.1875,1,528,timestamp,0.45480308507222306,53.09710617014444,51.73269691492778,True,JNJ_1d_15y.parquet,JNJ_events.csv
jnj,2013-02-06 00:00:00+00:00,JNJ_EVT_20130206_000000_6,2013-02-05 00:00:00+00:00,56.8015,1,613,timestamp,0.482609184914746,57.76671836982949,56.318890815085254,True,JNJ_1d_15y.parquet,JNJ_events.csv
jnj,2013-03-21 00:00:00+00:00,JNJ_EVT_20130321_000000_7,2013-03-20 00:00:00+00:00,60.7446,1,643,timestamp,0.4827347025297951,61.71006940505959,60.2618652974702,True,JNJ_1d_15y.parquet,JNJ_events.csv
jnj,2013-07-30 00:00:00+00:00,JNJ_EVT_20130730_000000_8,2013-07-29 00:00:00+00:00,72.3055,1,733,timestamp,0.9126269353491474,74.13075387069829,71.39287306465084,True,JNJ_1d_15y.parquet,JNJ_events.csv
jnj,2014-04-04 00:00:00+00:00,JNJ_EVT_20140404_000000_9,2014-04-03 00:00:00+00:00,78.0297,1,905,timestamp,0.9693644129763814,79.96842882595277,77.06033558702363,True,JNJ_1d_15y.parquet,JNJ_events.csv
