symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
lmt,2011-02-16 00:00:00+00:00,LMT_EVT_20110216_000000_0,2011-02-15 00:00:00+00:00,55.3804,1,118,timestamp,0.8846017637021879,57.14960352740438,54.495798236297816,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2011-04-25 00:00:00+00:00,LMT_EVT_20110425_000000_1,2011-04-21 00:00:00+00:00,53.2189,-1,164,timestamp,0.8752381952989675,51.468423609402066,54.09413819529897,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2011-05-20 00:00:00+00:00,LMT_EVT_20110520_000000_2,2011-05-19 00:00:00+00:00,55.1979,1,183,timestamp,0.8351507366402208,56.868201473280436,54.362749263359774,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2012-04-03 00:00:00+00:00,LMT_EVT_20120403_000000_3,2012-04-02 00:00:00+00:00,65.3319,1,402,timestamp,0.7429374346688915,66.81777486933778,64.58896256533112,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2012-06-04 00:00:00+00:00,LMT_EVT_20120604_000000_4,2012-06-01 00:00:00+00:00,59.0085,-1,444,timestamp,0.8327152913889067,57.34306941722218,59.841215291388906,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2013-02-12 00:00:00+00:00,LMT_EVT_20130212_000000_5,2013-02-11 00:00:00+00:00,65.2701,-1,617,timestamp,1.048400897944549,63.1732982041109,66.31850089794455,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2013-03-25 00:00:00+00:00,LMT_EVT_20130325_000000_6,2013-03-22 00:00:00+00:00,69.7814,1,645,timestamp,0.9003458958305457,71.5820917916611,68.88105410416946,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2013-04-09 00:00:00+00:00,LMT_EVT_20130409_000000_7,2013-04-08 00:00:00+00:00,71.823,1,655,timestamp,0.9564564192601941,73.73591283852038,70.8665435807398,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2013-09-04 00:00:00+00:00,LMT_EVT_20130904_000000_8,2013-09-03 00:00:00+00:00,94.8362,1,758,timestamp,1.2131953909696478,97.2625907819393,93.62300460903036,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2014-05-13 00:00:00+00:00,LMT_EVT_20140513_000000_9,2014-05-12 00:00:00+00:00,130.608,1,931,timestamp,2.1498653497287874,134.90773069945757,128.4581346502712,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2015-03-23 00:00:00+00:00,LMT_EVT_20150323_000000_10,2015-03-20 00:00:00+00:00,164.073,1,1147,timestamp,2.336857485637869,168.74671497127574,161.73614251436214,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2015-07-01 00:00:00+00:00,LMT_EVT_20150701_000000_11,2015-06-30 00:00:00+00:00,151.337,-1,1217,timestamp,1.7881753288921045,147.76064934221577,153.12517532889208,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2015-08-11 00:00:00+00:00,LMT_EVT_20150811_000000_12,2015-08-10 00:00:00+00:00,170.087,1,1245,timestamp,2.058192897846324,174.20338579569264,168.02880710215368,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2015-11-18 00:00:00+00:00,LMT_EVT_20151118_000000_13,2015-11-17 00:00:00+00:00,182.381,1,1315,timestamp,2.9744144163464457,188.3298288326929,179.40658558365357,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2017-06-02 00:00:00+00:00,LMT_EVT_20170602_000000_14,2017-06-01 00:00:00+00:00,242.023,1,1701,timestamp,2.433384872350059,246.88976974470012,239.58961512764995,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2017-06-15 00:00:00+00:00,LMT_EVT_20170615_000000_15,2017-06-14 00:00:00+00:00,240.728,1,1710,timestamp,2.4484813741914464,245.6249627483829,238.27951862580855,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2018-06-20 00:00:00+00:00,LMT_EVT_20180620_000000_16,2018-06-19 00:00:00+00:00,266.522,-1,1965,timestamp,5.170060844150964,256.1818783116981,271.69206084415094,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2019-08-19 00:00:00+00:00,LMT_EVT_20190819_000000_17,2019-08-16 00:00:00+00:00,343.941,1,2257,timestamp,5.5948718688785375,355.13074373775703,338.3461281311214,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2020-03-20 00:00:00+00:00,LMT_EVT_20200320_000000_18,2020-03-19 00:00:00+00:00,289.775,-1,2405,timestamp,17.276326874183003,255.22234625163398,307.05132687418296,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2020-05-29 00:00:00+00:00,LMT_EVT_20200529_000000_19,2020-05-28 00:00:00+00:00,367.441,1,2453,timestamp,11.783607852553802,391.0082157051076,355.65739214744616,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2020-08-12 00:00:00+00:00,LMT_EVT_20200812_000000_20,2020-08-11 00:00:00+00:00,365.585,1,2505,timestamp,8.04691181655519,381.67882363311037,357.5380881834448,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2021-12-02 00:00:00+00:00,LMT_EVT_20211202_000000_21,2021-12-01 00:00:00+00:00,321.553,-1,2835,timestamp,5.523056853732183,310.5068862925356,327.07605685373215,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2022-01-14 00:00:00+00:00,LMT_EVT_20220114_000000_22,2022-01-13 00:00:00+00:00,355.833,1,2865,timestamp,5.427036493846275,366.6870729876926,350.40596350615374,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2022-04-11 00:00:00+00:00,LMT_EVT_20220411_000000_23,2022-04-08 00:00:00+00:00,455.035,1,2924,timestamp,12.206198990743257,479.4473979814865,442.8288010092568,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2022-07-14 00:00:00+00:00,LMT_EVT_20220714_000000_24,2022-07-13 00:00:00+00:00,398.052,-1,2988,timestamp,10.287527428144763,377.4769451437105,408.3395274281448,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2023-02-03 00:00:00+00:00,LMT_EVT_20230203_000000_25,2023-02-02 00:00:00+00:00,459.27,-1,3129,timestamp,8.927786872857817,441.41442625428436,468.1977868728578,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2023-03-08 00:00:00+00:00,LMT_EVT_20230308_000000_26,2023-03-07 00:00:00+00:00,481.04,1,3151,timestamp,7.54095786006118,496.1219157201224,473.49904213993887,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2023-05-10 00:00:00+00:00,LMT_EVT_20230510_000000_27,2023-05-09 00:00:00+00:00,452.81,-1,3195,timestamp,7.764685311007569,437.28062937798484,460.57468531100756,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2023-10-02 00:00:00+00:00,LMT_EVT_20231002_000000_28,2023-09-29 00:00:00+00:00,408.96,-1,3294,timestamp,5.701103394517276,397.55779321096543,414.6611033945173,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2023-10-26 00:00:00+00:00,LMT_EVT_20231026_000000_29,2023-10-25 00:00:00+00:00,448.01,1,3312,timestamp,8.265057208402522,464.540114416805,439.74494279159745,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2024-01-16 00:00:00+00:00,LMT_EVT_20240116_000000_30,2024-01-12 00:00:00+00:00,466.27,1,3366,timestamp,5.77601728903235,477.8220345780647,460.49398271096766,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2024-02-15 00:00:00+00:00,LMT_EVT_20240215_000000_31,2024-02-14 00:00:00+00:00,418.58,-1,3388,timestamp,6.808454547306718,404.96309090538654,425.3884545473067,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2024-11-26 00:00:00+00:00,LMT_EVT_20241126_000000_32,2024-11-25 00:00:00+00:00,519.39,-1,3585,timestamp,11.203648789564008,496.982702420872,530.593648789564,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2025-01-29 00:00:00+00:00,LMT_EVT_20250129_000000_33,2025-01-28 00:00:00+00:00,459.5,-1,3626,timestamp,10.907666550513007,437.684666898974,470.407666550513,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2025-02-04 00:00:00+00:00,LMT_EVT_20250204_000000_34,2025-02-03 00:00:00+00:00,454.75,-1,3630,timestamp,10.637285765808786,433.4754284683824,465.38728576580877,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2025-02-13 00:00:00+00:00,LMT_EVT_20250213_000000_35,2025-02-12 00:00:00+00:00,442.5,-1,3637,timestamp,9.651640684596448,423.1967186308071,452.15164068459643,True,LMT_1d_15y.parquet,LMT_events.csv
lmt,2025-05-09 00:00:00+00:00,LMT_EVT_20250509_000000_36,2025-05-08 00:00:00+00:00,476.38,1,3696,timestamp,12.403353634417066,501.18670726883414,463.97664636558295,True,LMT_1d_15y.parquet,LMT_events.csv
