symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
ms,2011-04-12 00:00:00+00:00,MS_EVT_20110412_000000_0,2011-04-11 00:00:00+00:00,20.9904,-1,155,timestamp,0.47371797459674614,20.04296405080651,21.464117974596746,True,MS_1d_15y.parquet,MS_events.csv
ms,2011-05-12 00:00:00+00:00,MS_EVT_20110512_000000_1,2011-05-11 00:00:00+00:00,19.4648,-1,176,timestamp,0.47711646018136517,18.51056707963727,19.941916460181364,True,MS_1d_15y.parquet,MS_events.csv
ms,2012-04-24 00:00:00+00:00,MS_EVT_20120424_000000_2,2012-04-23 00:00:00+00:00,13.5941,-1,415,timestamp,0.5643289293262527,12.465442141347493,14.158428929326252,True,MS_1d_15y.parquet,MS_events.csv
ms,2012-12-05 00:00:00+00:00,MS_EVT_20121205_000000_3,2012-12-04 00:00:00+00:00,13.4527,-1,570,timestamp,0.3864415845644408,12.679816830871118,13.839141584564441,True,MS_1d_15y.parquet,MS_events.csv
ms,2012-12-26 00:00:00+00:00,MS_EVT_20121226_000000_4,2012-12-24 00:00:00+00:00,15.3247,1,584,timestamp,0.38015253854074205,16.085005077081483,14.944547461459258,True,MS_1d_15y.parquet,MS_events.csv
ms,2013-01-03 00:00:00+00:00,MS_EVT_20130103_000000_5,2013-01-02 00:00:00+00:00,15.6788,1,589,timestamp,0.39905034666506034,16.476900693330123,15.27974965333494,True,MS_1d_15y.parquet,MS_events.csv
ms,2013-02-11 00:00:00+00:00,MS_EVT_20130211_000000_6,2013-02-08 00:00:00+00:00,18.7389,1,615,timestamp,0.4601972138637081,19.659294427727417,18.278702786136293,True,MS_1d_15y.parquet,MS_events.csv
ms,2013-08-01 00:00:00+00:00,MS_EVT_20130801_000000_7,2013-07-31 00:00:00+00:00,22.3522,1,734,timestamp,0.5194271486847204,23.39105429736944,21.83277285131528,True,MS_1d_15y.parquet,MS_events.csv
ms,2013-09-11 00:00:00+00:00,MS_EVT_20130911_000000_8,2013-09-10 00:00:00+00:00,22.934,1,762,timestamp,0.48214875453719186,23.898297509074386,22.45185124546281,True,MS_1d_15y.parquet,MS_events.csv
ms,2013-11-12 00:00:00+00:00,MS_EVT_20131112_000000_9,2013-11-11 00:00:00+00:00,24.338,1,806,timestamp,0.45365149231570157,25.245302984631405,23.8843485076843,True,MS_1d_15y.parquet,MS_events.csv
ms,2013-12-02 00:00:00+00:00,MS_EVT_20131202_000000_10,2013-11-29 00:00:00+00:00,25.5996,1,819,timestamp,0.4245599862647982,26.448719972529595,25.1750400137352,True,MS_1d_15y.parquet,MS_events.csv
ms,2014-05-21 00:00:00+00:00,MS_EVT_20140521_000000_11,2014-05-20 00:00:00+00:00,24.3694,-1,936,timestamp,0.5625492591386076,23.244301481722783,24.931949259138605,True,MS_1d_15y.parquet,MS_events.csv
ms,2015-12-02 00:00:00+00:00,MS_EVT_20151202_000000_12,2015-12-01 00:00:00+00:00,29.4818,1,1323,timestamp,0.645899199636029,30.773598399272057,28.83590080036397,True,MS_1d_15y.parquet,MS_events.csv
ms,2016-05-26 00:00:00+00:00,MS_EVT_20160526_000000_13,2016-05-25 00:00:00+00:00,23.5335,1,1444,timestamp,0.6021971527287378,24.737894305457477,22.93130284727126,True,MS_1d_15y.parquet,MS_events.csv
ms,2016-11-08 00:00:00+00:00,MS_EVT_20161108_000000_14,2016-11-07 00:00:00+00:00,28.8784,1,1559,timestamp,0.606104241548999,30.090608483098,28.272295758451,True,MS_1d_15y.parquet,MS_events.csv
ms,2017-11-30 00:00:00+00:00,MS_EVT_20171130_000000_15,2017-11-29 00:00:00+00:00,44.9429,1,1826,timestamp,0.7325134834395985,46.4079269668792,44.210386516560405,True,MS_1d_15y.parquet,MS_events.csv
ms,2018-01-29 00:00:00+00:00,MS_EVT_20180129_000000_16,2018-01-26 00:00:00+00:00,50.0632,1,1865,timestamp,0.809910784864245,51.68302156972849,49.25328921513576,True,MS_1d_15y.parquet,MS_events.csv
ms,2018-07-03 00:00:00+00:00,MS_EVT_20180703_000000_17,2018-07-02 00:00:00+00:00,42.0702,-1,1973,timestamp,1.0349595581904736,40.000280883619055,43.10515955819047,True,MS_1d_15y.parquet,MS_events.csv
ms,2018-08-08 00:00:00+00:00,MS_EVT_20180808_000000_18,2018-08-07 00:00:00+00:00,44.3169,1,1998,timestamp,0.8333470023436887,45.983594004687376,43.48355299765631,True,MS_1d_15y.parquet,MS_events.csv
ms,2018-12-21 00:00:00+00:00,MS_EVT_20181221_000000_19,2018-12-20 00:00:00+00:00,34.1891,-1,2092,timestamp,1.2884840114380154,31.612131977123973,35.47758401143802,True,MS_1d_15y.parquet,MS_events.csv
ms,2019-04-25 00:00:00+00:00,MS_EVT_20190425_000000_20,2019-04-24 00:00:00+00:00,42.3214,1,2176,timestamp,0.8463968537901434,44.01419370758028,41.47500314620985,True,MS_1d_15y.parquet,MS_events.csv
ms,2019-08-21 00:00:00+00:00,MS_EVT_20190821_000000_21,2019-08-20 00:00:00+00:00,36.7988,-1,2258,timestamp,0.9427967816509413,34.91320643669812,37.74159678165094,True,MS_1d_15y.parquet,MS_events.csv
ms,2019-10-09 00:00:00+00:00,MS_EVT_20191009_000000_22,2019-10-08 00:00:00+00:00,36.5359,-1,2292,timestamp,0.8471711105225135,34.84155777895497,37.383071110522515,True,MS_1d_15y.parquet,MS_events.csv
ms,2019-10-22 00:00:00+00:00,MS_EVT_20191022_000000_23,2019-10-21 00:00:00+00:00,40.7742,1,2301,timestamp,0.8903611737846499,42.5549223475693,39.88383882621535,True,MS_1d_15y.parquet,MS_events.csv
ms,2019-12-27 00:00:00+00:00,MS_EVT_20191227_000000_24,2019-12-26 00:00:00+00:00,47.014,1,2347,timestamp,0.6703145694986331,48.35462913899727,46.34368543050137,True,MS_1d_15y.parquet,MS_events.csv
ms,2020-02-12 00:00:00+00:00,MS_EVT_20200212_000000_25,2020-02-11 00:00:00+00:00,51.8331,1,2378,timestamp,1.006863291108252,53.84682658221651,50.82623670889175,True,MS_1d_15y.parquet,MS_events.csv
