symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
msft,2010-10-28 00:00:00+00:00,MSFT_EVT_20101028_000000_0,2010-10-27 00:00:00+00:00,20.1346,1,42,timestamp,0.33511166839480594,20.80482333678961,19.799488331605193,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2012-01-13 00:00:00+00:00,MSFT_EVT_20120113_000000_1,2012-01-12 00:00:00+00:00,22.0381,1,347,timestamp,0.3903896062831304,22.818879212566262,21.64771039371687,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2012-01-27 00:00:00+00:00,MSFT_EVT_20120127_000000_2,2012-01-26 00:00:00+00:00,23.2286,1,356,timestamp,0.42176968658067326,24.072139373161345,22.806830313419326,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2013-01-02 00:00:00+00:00,MSFT_EVT_20130102_000000_3,2012-12-31 00:00:00+00:00,22.1067,-1,589,timestamp,0.41445443692526684,21.277791126149467,22.52115443692527,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2013-04-17 00:00:00+00:00,MSFT_EVT_20130417_000000_4,2013-04-16 00:00:00+00:00,23.601,1,661,timestamp,0.3928136439914867,24.38662728798297,23.20818635600851,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2013-10-11 00:00:00+00:00,MSFT_EVT_20131011_000000_5,2013-10-10 00:00:00+00:00,27.9395,1,785,timestamp,0.5387357339311666,29.016971467862334,27.400764266068833,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2014-03-11 00:00:00+00:00,MSFT_EVT_20140311_000000_6,2014-03-10 00:00:00+00:00,31.8905,1,887,timestamp,0.5207208579567377,32.931941715913474,31.36977914204326,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2015-03-16 00:00:00+00:00,MSFT_EVT_20150316_000000_7,2015-03-13 00:00:00+00:00,35.8658,-1,1142,timestamp,0.6862766052200285,34.49324678955994,36.55207660522003,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2015-05-18 00:00:00+00:00,MSFT_EVT_20150518_000000_8,2015-05-15 00:00:00+00:00,41.4946,1,1186,timestamp,0.8515291150865413,43.19765823017308,40.643070884913456,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2015-09-02 00:00:00+00:00,MSFT_EVT_20150902_000000_9,2015-09-01 00:00:00+00:00,37.1141,-1,1261,timestamp,1.0917831083199634,34.930533783360076,38.205883108319966,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2016-06-14 00:00:00+00:00,MSFT_EVT_20160614_000000_10,2016-06-13 00:00:00+00:00,44.6407,-1,1457,timestamp,0.8767458140878321,42.887208371824336,45.517445814087836,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2017-08-17 00:00:00+00:00,MSFT_EVT_20170817_000000_11,2017-08-16 00:00:00+00:00,67.8343,1,1754,timestamp,0.932917306929449,69.70013461385889,66.90138269307054,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2017-10-03 00:00:00+00:00,MSFT_EVT_20171003_000000_12,2017-10-02 00:00:00+00:00,68.8375,1,1786,timestamp,0.8681145114398442,70.57372902287969,67.96938548856016,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2017-12-22 00:00:00+00:00,MSFT_EVT_20171222_000000_13,2017-12-21 00:00:00+00:00,79.1255,1,1843,timestamp,1.1757584573238435,81.47701691464769,77.94974154267616,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2018-09-21 00:00:00+00:00,MSFT_EVT_20180921_000000_14,2018-09-20 00:00:00+00:00,107.0,1,2030,timestamp,1.637185006168595,110.27437001233719,105.3628149938314,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2019-03-01 00:00:00+00:00,MSFT_EVT_20190301_000000_15,2019-02-28 00:00:00+00:00,106.866,1,2139,timestamp,1.9931354488745876,110.85227089774918,104.87286455112542,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2019-05-20 00:00:00+00:00,MSFT_EVT_20190520_000000_16,2019-05-17 00:00:00+00:00,120.186,1,2194,timestamp,2.2429352284588573,124.67187045691772,117.94306477154115,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2020-01-03 00:00:00+00:00,MSFT_EVT_20200103_000000_17,2020-01-02 00:00:00+00:00,151.432,1,2352,timestamp,1.6775660473590834,154.78713209471815,149.7544339526409,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2020-02-14 00:00:00+00:00,MSFT_EVT_20200214_000000_18,2020-02-13 00:00:00+00:00,175.275,1,2381,timestamp,3.2069850405021905,181.68897008100438,172.06801495949782,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2020-03-17 00:00:00+00:00,MSFT_EVT_20200317_000000_19,2020-03-16 00:00:00+00:00,134.28,-1,2402,timestamp,8.263626528073917,117.75274694385217,142.54362652807393,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2020-08-04 00:00:00+00:00,MSFT_EVT_20200804_000000_20,2020-08-03 00:00:00+00:00,205.964,1,2499,timestamp,5.4328431594971605,216.82968631899433,200.53115684050283,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2021-04-06 00:00:00+00:00,MSFT_EVT_20210406_000000_21,2021-04-05 00:00:00+00:00,239.896,1,2667,timestamp,5.288074216322454,250.4721484326449,234.60792578367753,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2021-06-15 00:00:00+00:00,MSFT_EVT_20210615_000000_22,2021-06-14 00:00:00+00:00,252.27,1,2716,timestamp,4.001357124959502,260.27271424991903,248.2686428750405,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2021-08-31 00:00:00+00:00,MSFT_EVT_20210831_000000_23,2021-08-30 00:00:00+00:00,296.175,1,2770,timestamp,4.117714350809243,304.4104287016185,292.05728564919076,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2022-03-07 00:00:00+00:00,MSFT_EVT_20220307_000000_24,2022-03-04 00:00:00+00:00,281.819,-1,2899,timestamp,8.816084616015505,264.186830767969,290.63508461601555,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2023-02-14 00:00:00+00:00,MSFT_EVT_20230214_000000_25,2023-02-13 00:00:00+00:00,268.268,1,3136,timestamp,7.3057588123129715,282.8795176246259,260.962241187687,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2023-03-30 00:00:00+00:00,MSFT_EVT_20230330_000000_26,2023-03-29 00:00:00+00:00,280.342,1,3167,timestamp,6.685231978276223,293.7124639565524,273.65676802172374,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2023-05-08 00:00:00+00:00,MSFT_EVT_20230508_000000_27,2023-05-05 00:00:00+00:00,305.888,1,3193,timestamp,6.527225809360623,318.94245161872124,299.36077419063935,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2024-01-11 00:00:00+00:00,MSFT_EVT_20240111_000000_28,2024-01-10 00:00:00+00:00,383.135,1,3364,timestamp,5.80257313231532,394.74014626463065,377.33242686768466,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2025-05-28 00:00:00+00:00,MSFT_EVT_20250528_000000_29,2025-05-27 00:00:00+00:00,461.22,1,3708,timestamp,9.714657003956106,480.64931400791227,451.5053429960439,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2025-07-25 00:00:00+00:00,MSFT_EVT_20250725_000000_30,2025-07-24 00:00:00+00:00,512.465,1,3748,timestamp,6.752474646573886,525.9699492931478,505.71252535342614,True,MSFT_1d_15y.parquet,MSFT_events.csv
msft,2025-08-11 00:00:00+00:00,MSFT_EVT_20250811_000000_31,2025-08-08 00:00:00+00:00,522.3,1,3759,timestamp,8.906259808033758,540.1125196160675,513.3937401919662,True,MSFT_1d_15y.parquet,MSFT_events.csv
