symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
sbux,2011-03-17 00:00:00+00:00,SBUX_EVT_20110317_000000_0,2011-03-16 00:00:00+00:00,14.5503,1,138,timestamp,0.40369580289152185,15.357691605783044,14.146604197108479,True,SBUX_1d_15y.parquet,SBUX_events.csv
sbux,2011-03-25 00:00:00+00:00,SBUX_EVT_20110325_000000_1,2011-03-24 00:00:00+00:00,15.4113,1,144,timestamp,0.4114741158583435,16.234248231716688,14.999825884141657,True,SBUX_1d_15y.parquet,SBUX_events.csv
sbux,2012-04-02 00:00:00+00:00,SBUX_EVT_20120402_000000_2,2012-03-30 00:00:00+00:00,23.2349,1,401,timestamp,0.3587543495538765,23.952408699107753,22.876145650446123,True,SBUX_1d_15y.parquet,SBUX_events.csv
sbux,2012-04-25 00:00:00+00:00,SBUX_EVT_20120425_000000_3,2012-04-24 00:00:00+00:00,24.3501,1,417,timestamp,0.542208489845905,25.43451697969181,23.807891510154096,True,SBUX_1d_15y.parquet,SBUX_events.csv
sbux,2012-07-30 00:00:00+00:00,SBUX_EVT_20120730_000000_4,2012-07-27 00:00:00+00:00,19.7389,-1,483,timestamp,0.7038024713114144,18.331295057377172,20.442702471311414,True,SBUX_1d_15y.parquet,SBUX_events.csv
sbux,2012-10-31 00:00:00+00:00,SBUX_EVT_20121031_000000_5,2012-10-26 00:00:00+00:00,19.1536,-1,547,timestamp,0.4522914585849224,18.249017082830157,19.605891458584924,True,SBUX_1d_15y.parquet,SBUX_events.csv
sbux,2012-12-07 00:00:00+00:00,SBUX_EVT_20121207_000000_6,2012-12-06 00:00:00+00:00,22.3925,1,573,timestamp,0.5360047950507897,23.464509590101578,21.85649520494921,True,SBUX_1d_15y.parquet,SBUX_events.csv
sbux,2013-03-07 00:00:00+00:00,SBUX_EVT_20130307_000000_7,2013-03-06 00:00:00+00:00,24.03,1,633,timestamp,0.4273037988281549,24.88460759765631,23.602696201171845,True,SBUX_1d_15y.parquet,SBUX_events.csv
sbux,2013-04-22 00:00:00+00:00,SBUX_EVT_20130422_000000_8,2013-04-19 00:00:00+00:00,24.5847,1,664,timestamp,0.42816171399591424,25.44102342799183,24.156538286004086,True,SBUX_1d_15y.parquet,SBUX_events.csv
sbux,2013-07-19 00:00:00+00:00,SBUX_EVT_20130719_000000_9,2013-07-18 00:00:00+00:00,28.9564,1,726,timestamp,0.47046994637120376,29.897339892742405,28.485930053628795,True,SBUX_1d_15y.parquet,SBUX_events.csv
