symbol,events,pass,errors,warnings,start,end,longs,shorts
IBM,56,True,,,2010-12-22 00:00:00+00:00,2025-07-01 00:00:00+00:00,38,18
XOM,54,True,,,2010-12-02 00:00:00+00:00,2025-07-25 00:00:00+00:00,28,26
TSLA,53,True,,,2010-12-01 00:00:00+00:00,2024-11-19 00:00:00+00:00,37,16
ADBE,51,True,,,2011-04-18 00:00:00+00:00,2025-06-06 00:00:00+00:00,35,16
BK,51,True,,,2010-11-01 00:00:00+00:00,2025-08-05 00:00:00+00:00,30,21
NFLX,51,True,,,2010-12-13 00:00:00+00:00,2025-07-15 00:00:00+00:00,37,14
BAC,50,True,,,2010-12-17 00:00:00+00:00,2025-08-25 00:00:00+00:00,30,20
DIS,50,True,,,2010-12-23 00:00:00+00:00,2025-03-21 00:00:00+00:00,27,23
AAPL,49,True,,,2011-02-01 00:00:00+00:00,2025-08-25 00:00:00+00:00,38,11
AMD,49,True,,,2011-01-04 00:00:00+00:00,2025-07-24 00:00:00+00:00,32,17
INTC,49,True,,,2010-11-26 00:00:00+00:00,2025-07-18 00:00:00+00:00,21,28
ORCL,49,True,,,2011-02-18 00:00:00+00:00,2025-07-24 00:00:00+00:00,31,18
TSM,49,True,,,2011-02-07 00:00:00+00:00,2025-06-25 00:00:00+00:00,32,17
GS,48,True,,,2010-10-27 00:00:00+00:00,2025-03-28 00:00:00+00:00,27,21
NEE,48,True,,,2010-12-09 00:00:00+00:00,2025-08-18 00:00:00+00:00,33,15
CSCO,47,True,,,2010-11-04 00:00:00+00:00,2025-08-08 00:00:00+00:00,27,20
F,47,True,,,2011-02-11 00:00:00+00:00,2025-08-27 00:00:00+00:00,27,20
WFC,47,True,,,2010-12-09 00:00:00+00:00,2025-07-24 00:00:00+00:00,23,24
MDT,46,True,,,2010-12-13 00:00:00+00:00,2025-07-21 00:00:00+00:00,24,22
UNH,46,True,,,2011-04-25 00:00:00+00:00,2025-08-08 00:00:00+00:00,32,14
BRK-B,45,True,,,2011-08-03 00:00:00+00:00,2025-05-21 00:00:00+00:00,29,16
CAT,45,True,,,2011-07-20 00:00:00+00:00,2025-07-23 00:00:00+00:00,29,16
CVS,45,True,,,2011-03-31 00:00:00+00:00,2025-08-27 00:00:00+00:00,28,17
