symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
adi,2010-10-25 00:00:00+00:00,ADI_EVT_20101025_000000_0,2010-10-22 00:00:00+00:00,24.0891,1,39,timestamp,0.5769307109267173,25.242961421853437,23.51216928907328,True,ADI_1d_15y.parquet,ADI_events.csv,1,0.0468997314907339,43,2010-10-29 00:00:00+00:00,TP,4,4
adi,2010-11-23 00:00:00+00:00,ADI_EVT_20101123_000000_1,2010-11-22 00:00:00+00:00,26.6127,1,60,timestamp,0.57739283802823,27.76748567605646,26.03530716197177,True,ADI_1d_15y.parquet,ADI_events.csv,1,0.04239227797466849,66,2010-12-02 00:00:00+00:00,TP,6,6
adi,2011-02-18 00:00:00+00:00,ADI_EVT_20110218_000000_2,2011-02-17 00:00:00+00:00,31.1039,1,120,timestamp,0.5578395105730448,32.21957902114609,30.546060489426957,True,ADI_1d_15y.parquet,ADI_events.csv,0,-0.018934712707186052,121,2011-02-22 00:00:00+00:00,SL,1,1
adi,2011-05-19 00:00:00+00:00,ADI_EVT_20110519_000000_3,2011-05-18 00:00:00+00:00,32.1534,1,182,timestamp,0.6802250494706569,33.51385009894131,31.47317495052934,True,ADI_1d_15y.parquet,ADI_events.csv,0,-0.022155618051921677,183,2011-05-20 00:00:00+00:00,SL,1,1
adi,2011-08-19 00:00:00+00:00,ADI_EVT_20110819_000000_4,2011-08-18 00:00:00+00:00,23.1315,-1,246,timestamp,0.8606191072094873,21.410261785581024,23.992119107209486,True,ADI_1d_15y.parquet,ADI_events.csv,0,-0.03820550362966035,248,2011-08-23 00:00:00+00:00,SL,2,2
adi,2012-04-02 00:00:00+00:00,ADI_EVT_20120402_000000_5,2012-03-30 00:00:00+00:00,31.3397,1,401,timestamp,0.491473202033279,32.32264640406656,30.84822679796672,True,ADI_1d_15y.parquet,ADI_events.csv,0,-0.016682128483466063,402,2012-04-03 00:00:00+00:00,SL,1,1
adi,2012-06-04 00:00:00+00:00,ADI_EVT_20120604_000000_6,2012-06-01 00:00:00+00:00,28.0587,-1,444,timestamp,0.592515843342732,26.87366831331454,28.651215843342733,True,ADI_1d_15y.parquet,ADI_events.csv,0,-0.022117009816660427,446,2012-06-06 00:00:00+00:00,SL,2,2
adi,2013-07-24 00:00:00+00:00,ADI_EVT_20130724_000000_7,2013-07-23 00:00:00+00:00,39.2846,1,729,timestamp,0.618724957815707,40.52204991563141,38.66587504218429,True,ADI_1d_15y.parquet,ADI_events.csv,0,0.007586061713750315,739,2013-08-07 00:00:00+00:00,TIMEOUT,10,10
adi,2013-08-13 00:00:00+00:00,ADI_EVT_20130813_000000_8,2013-08-12 00:00:00+00:00,39.8251,1,743,timestamp,0.5556023753604191,40.93630475072084,39.26949762463958,True,ADI_1d_15y.parquet,ADI_events.csv,0,-0.014951060395590243,745,2013-08-15 00:00:00+00:00,SL,2,2
adi,2014-03-07 00:00:00+00:00,ADI_EVT_20140307_000000_9,2014-03-06 00:00:00+00:00,42.621,1,885,timestamp,0.5896017709931276,43.80020354198626,42.03139822900688,True,ADI_1d_15y.parquet,ADI_events.csv,0,-0.014833597780275487,889,2014-03-13 00:00:00+00:00,SL,4,4
