symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
c,2011-06-02 00:00:00+00:00,C_EVT_20110602_000000_0,2011-06-01 00:00:00+00:00,32.8599,-1,191,timestamp,0.7664527386994299,31.326994522601144,33.62635273869943,True,C_1d_15y.parquet,C_events.csv,1,0.045649730443454106,194,2011-06-07 00:00:00+00:00,TP,3,3
c,2011-11-03 00:00:00+00:00,C_EVT_20111103_000000_1,2011-11-02 00:00:00+00:00,25.3693,1,299,timestamp,1.5178788670486671,28.405057734097333,23.85142113295133,True,C_1d_15y.parquet,C_events.csv,0,-0.060831326329408686,303,2011-11-09 00:00:00+00:00,SL,4,4
c,2012-02-29 00:00:00+00:00,C_EVT_20120229_000000_2,2012-02-28 00:00:00+00:00,27.7824,1,378,timestamp,0.8881984834889307,29.55879696697786,26.894201516511067,True,C_1d_15y.parquet,C_events.csv,0,-0.03296982562661732,382,2012-03-06 00:00:00+00:00,SL,4,4
c,2012-08-21 00:00:00+00:00,C_EVT_20120821_000000_3,2012-08-20 00:00:00+00:00,25.059,1,499,timestamp,0.6694626394944595,26.39792527898892,24.389537360505543,True,C_1d_15y.parquet,C_events.csv,0,-0.02771545710101997,502,2012-08-24 00:00:00+00:00,SL,3,3
c,2012-09-28 00:00:00+00:00,C_EVT_20120928_000000_4,2012-09-27 00:00:00+00:00,27.1333,1,526,timestamp,0.7677342240367585,28.668768448073514,26.36556577596324,True,C_1d_15y.parquet,C_events.csv,1,0.05558981576415378,530,2012-10-04 00:00:00+00:00,TP,4,4
c,2012-11-05 00:00:00+00:00,C_EVT_20121105_000000_5,2012-11-02 00:00:00+00:00,30.9315,1,550,timestamp,0.758914436821476,32.449328873642955,30.17258556317852,True,C_1d_15y.parquet,C_events.csv,0,-0.02553532602109443,552,2012-11-07 00:00:00+00:00,SL,2,2
c,2012-12-26 00:00:00+00:00,C_EVT_20121226_000000_6,2012-12-24 00:00:00+00:00,32.6818,1,585,timestamp,0.7769806683475761,34.235761336695155,31.904819331652423,True,C_1d_15y.parquet,C_events.csv,1,0.046548217561308,589,2013-01-02 00:00:00+00:00,TP,4,4
c,2013-04-26 00:00:00+00:00,C_EVT_20130426_000000_7,2013-04-25 00:00:00+00:00,38.9849,1,668,timestamp,0.8892705313216308,40.76344106264327,38.095629468678375,True,C_1d_15y.parquet,C_events.csv,0,-0.023810640307442843,671,2013-05-01 00:00:00+00:00,SL,3,3
c,2013-06-10 00:00:00+00:00,C_EVT_20130610_000000_8,2013-06-07 00:00:00+00:00,43.1424,1,698,timestamp,0.9829671246425205,45.10833424928504,42.15943287535748,True,C_1d_15y.parquet,C_events.csv,0,-0.023784247622814725,699,2013-06-11 00:00:00+00:00,SL,1,1
c,2013-07-31 00:00:00+00:00,C_EVT_20130731_000000_9,2013-07-30 00:00:00+00:00,42.9016,1,734,timestamp,0.8846146481537619,44.67082929630752,42.01698535184624,True,C_1d_15y.parquet,C_events.csv,0,-0.003121133011356191,744,2013-08-14 00:00:00+00:00,TIMEOUT,10,10
