symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
ko,2010-10-29 00:00:00+00:00,KO_EVT_20101029_000000_0,2010-10-28 00:00:00+00:00,21.0675,1,43,timestamp,0.2168541702555484,21.50120834051109,20.85064582974445,True,KO_1d_15y.parquet,KO_events.csv,1,0.019586606883165714,47,2010-11-04 00:00:00+00:00,TP,4,4
ko,2010-12-02 00:00:00+00:00,KO_EVT_20101202_000000_1,2010-12-01 00:00:00+00:00,22.3065,1,66,timestamp,0.2605568773361303,22.82761375467226,22.045943122663868,True,KO_1d_15y.parquet,KO_events.csv,0,-0.012680760197078533,74,2010-12-14 00:00:00+00:00,SL,8,8
ko,2011-01-03 00:00:00+00:00,KO_EVT_20110103_000000_2,2010-12-31 00:00:00+00:00,22.7136,1,87,timestamp,0.2135324091699024,23.140664818339804,22.500067590830096,True,KO_1d_15y.parquet,KO_events.csv,0,-0.010401081694223047,88,2011-01-04 00:00:00+00:00,SL,1,1
ko,2011-06-13 00:00:00+00:00,KO_EVT_20110613_000000_3,2011-06-10 00:00:00+00:00,22.7911,-1,198,timestamp,0.2602739047646752,22.27055219047065,23.051373904764677,True,KO_1d_15y.parquet,KO_events.csv,0,-0.012419979937987935,202,2011-06-17 00:00:00+00:00,SL,4,4
ko,2012-03-09 00:00:00+00:00,KO_EVT_20120309_000000_4,2012-03-08 00:00:00+00:00,24.6505,1,385,timestamp,0.2477045774210897,25.14590915484218,24.40279542257891,True,KO_1d_15y.parquet,KO_events.csv,1,0.01909732682266807,388,2012-03-14 00:00:00+00:00,TP,3,3
ko,2012-04-25 00:00:00+00:00,KO_EVT_20120425_000000_5,2012-04-24 00:00:00+00:00,26.6578,1,417,timestamp,0.2711864738186583,27.20017294763732,26.386613526181343,True,KO_1d_15y.parquet,KO_events.csv,1,0.019345750498440117,419,2012-04-27 00:00:00+00:00,TP,2,2
ko,2012-07-30 00:00:00+00:00,KO_EVT_20120730_000000_6,2012-07-27 00:00:00+00:00,28.7219,1,483,timestamp,0.3629501330295888,29.44780026605918,28.358949866970413,True,KO_1d_15y.parquet,KO_events.csv,0,-0.013636703457277854,492,2012-08-10 00:00:00+00:00,SL,9,9
ko,2013-05-16 00:00:00+00:00,KO_EVT_20130516_000000_7,2013-05-15 00:00:00+00:00,31.5503,1,682,timestamp,0.4236726604249271,32.397645320849854,31.126627339575077,True,KO_1d_15y.parquet,KO_events.csv,0,-0.014428482785422747,684,2013-05-20 00:00:00+00:00,SL,2,2
ko,2013-10-01 00:00:00+00:00,KO_EVT_20131001_000000_8,2013-09-30 00:00:00+00:00,28.3382,-1,777,timestamp,0.376766612417058,27.58466677516589,28.714966612417054,True,KO_1d_15y.parquet,KO_events.csv,1,0.025590722940557642,780,2013-10-04 00:00:00+00:00,TP,3,3
ko,2013-12-02 00:00:00+00:00,KO_EVT_20131202_000000_9,2013-11-29 00:00:00+00:00,30.1136,1,820,timestamp,0.3485030082783828,30.81060601655677,29.76509699172162,True,KO_1d_15y.parquet,KO_events.csv,0,-0.012572944061101321,828,2013-12-12 00:00:00+00:00,SL,8,8
ko,2014-02-20 00:00:00+00:00,KO_EVT_20140220_000000_10,2014-02-19 00:00:00+00:00,27.8156,-1,874,timestamp,0.4563969011488127,26.902806197702372,28.27199690114881,True,KO_1d_15y.parquet,KO_events.csv,0,-0.017407947380204347,877,2014-02-25 00:00:00+00:00,SL,3,3
ko,2014-07-21 00:00:00+00:00,KO_EVT_20140721_000000_11,2014-07-18 00:00:00+00:00,32.12,1,978,timestamp,0.3063163515388964,32.73263270307779,31.8136836484611,True,KO_1d_15y.parquet,KO_events.csv,0,-0.010536623646914545,979,2014-07-22 00:00:00+00:00,SL,1,1
ko,2014-11-12 00:00:00+00:00,KO_EVT_20141112_000000_12,2014-11-11 00:00:00+00:00,32.6563,1,1059,timestamp,0.4735622113704255,33.60342442274085,32.182737788629574,True,KO_1d_15y.parquet,KO_events.csv,1,0.02800280873034755,1063,2014-11-18 00:00:00+00:00,TP,4,4
ko,2014-11-28 00:00:00+00:00,KO_EVT_20141128_000000_13,2014-11-26 00:00:00+00:00,34.2115,1,1070,timestamp,0.4571905959980564,35.125881191996115,33.754309404001944,True,KO_1d_15y.parquet,KO_events.csv,0,-0.014363652455988696,1074,2014-12-04 00:00:00+00:00,SL,4,4
ko,2015-03-30 00:00:00+00:00,KO_EVT_20150330_000000_14,2015-03-27 00:00:00+00:00,31.2821,-1,1152,timestamp,0.4603344221126532,30.36143115577469,31.74243442211265,True,KO_1d_15y.parquet,KO_events.csv,0,-0.015715585658017006,1153,2015-03-31 00:00:00+00:00,SL,1,1
ko,2016-03-29 00:00:00+00:00,KO_EVT_20160329_000000_15,2016-03-28 00:00:00+00:00,36.9401,1,1403,timestamp,0.4333748028618879,37.80684960572378,36.50672519713811,True,KO_1d_15y.parquet,KO_events.csv,1,0.022463650767696186,1411,2016-04-08 00:00:00+00:00,TP,8,8
ko,2016-05-20 00:00:00+00:00,KO_EVT_20160520_000000_16,2016-05-19 00:00:00+00:00,35.8527,-1,1441,timestamp,0.4824787510732362,34.88774249785352,36.33517875107324,True,KO_1d_15y.parquet,KO_events.csv,0,-0.014457250111518438,1451,2016-06-06 00:00:00+00:00,SL,10,10
ko,2016-07-25 00:00:00+00:00,KO_EVT_20160725_000000_17,2016-07-22 00:00:00+00:00,37.1828,1,1485,timestamp,0.3898970786095039,37.96259415721901,36.7929029213905,True,KO_1d_15y.parquet,KO_events.csv,0,-0.01148595260737495,1486,2016-07-26 00:00:00+00:00,SL,1,1
ko,2016-11-18 00:00:00+00:00,KO_EVT_20161118_000000_18,2016-11-17 00:00:00+00:00,33.5753,-1,1568,timestamp,0.4214307952376417,32.73243840952472,33.99673079523764,True,KO_1d_15y.parquet,KO_events.csv,0,-0.013551810266405284,1570,2016-11-22 00:00:00+00:00,SL,2,2
ko,2017-03-10 00:00:00+00:00,KO_EVT_20170310_000000_19,2017-03-09 00:00:00+00:00,34.8476,1,1643,timestamp,0.3157287310986467,35.4790574621973,34.531871268901355,True,KO_1d_15y.parquet,KO_events.csv,1,0.01712054380207817,1650,2017-03-21 00:00:00+00:00,TP,7,7
ko,2017-05-02 00:00:00+00:00,KO_EVT_20170502_000000_20,2017-05-01 00:00:00+00:00,35.9809,1,1679,timestamp,0.3020819237676461,36.58506384753529,35.67881807623235,True,KO_1d_15y.parquet,KO_events.csv,1,0.015791237782692646,1689,2017-05-16 00:00:00+00:00,TP,10,10
ko,2017-09-08 00:00:00+00:00,KO_EVT_20170908_000000_21,2017-09-07 00:00:00+00:00,38.7682,1,1769,timestamp,0.2811096243268958,39.33041924865379,38.48709037567311,True,KO_1d_15y.parquet,KO_events.csv,1,0.013502072540220955,1772,2017-09-13 00:00:00+00:00,TP,3,3
ko,2018-07-17 00:00:00+00:00,KO_EVT_20180717_000000_22,2018-07-16 00:00:00+00:00,38.8495,1,1983,timestamp,0.4354895544842262,39.720479108968455,38.41401044551577,True,KO_1d_15y.parquet,KO_events.csv,1,0.021419313220722436,1989,2018-07-25 00:00:00+00:00,TP,6,6
ko,2019-03-11 00:00:00+00:00,KO_EVT_20190311_000000_23,2019-03-08 00:00:00+00:00,39.834,-1,2145,timestamp,0.6180511705041586,38.59789765899168,40.45205117050416,True,KO_1d_15y.parquet,KO_events.csv,0,-0.01651566929015813,2146,2019-03-12 00:00:00+00:00,SL,1,1
ko,2019-10-21 00:00:00+00:00,KO_EVT_20191021_000000_24,2019-10-18 00:00:00+00:00,49.2051,1,2301,timestamp,0.6475820542259505,50.5002641084519,48.55751794577405,True,KO_1d_15y.parquet,KO_events.csv,0,-0.014160872637713373,2305,2019-10-25 00:00:00+00:00,SL,4,4
ko,2020-01-31 00:00:00+00:00,KO_EVT_20200131_000000_25,2020-01-30 00:00:00+00:00,53.6875,1,2371,timestamp,0.5938407214361093,54.87518144287222,53.09365927856389,True,KO_1d_15y.parquet,KO_events.csv,0,0.015625844004656497,2381,2020-02-14 00:00:00+00:00,TIMEOUT,10,10
ko,2020-02-18 00:00:00+00:00,KO_EVT_20200218_000000_26,2020-02-14 00:00:00+00:00,54.4529,1,2382,timestamp,0.5655491144055397,55.58399822881108,53.88735088559446,True,KO_1d_15y.parquet,KO_events.csv,0,-0.011386023782122612,2384,2020-02-20 00:00:00+00:00,SL,2,2
ko,2020-10-12 00:00:00+00:00,KO_EVT_20201012_000000_27,2020-10-09 00:00:00+00:00,47.4973,1,2547,timestamp,0.9034985677631844,49.30429713552637,46.593801432236816,True,KO_1d_15y.parquet,KO_events.csv,0,-0.020022103735647834,2549,2020-10-14 00:00:00+00:00,SL,2,2
ko,2021-03-16 00:00:00+00:00,KO_EVT_20210316_000000_28,2021-03-15 00:00:00+00:00,48.61,1,2653,timestamp,0.8529749119452594,50.31594982389052,47.75702508805474,True,KO_1d_15y.parquet,KO_events.csv,0,-0.01854731355575523,2656,2021-03-19 00:00:00+00:00,SL,3,3
ko,2021-05-17 00:00:00+00:00,KO_EVT_20210517_000000_29,2021-05-14 00:00:00+00:00,52.0658,1,2696,timestamp,0.6913091989556489,53.4484183979113,51.37449080104435,True,KO_1d_15y.parquet,KO_events.csv,0,-0.014277606393364728,2697,2021-05-18 00:00:00+00:00,SL,1,1
ko,2021-07-07 00:00:00+00:00,KO_EVT_20210707_000000_30,2021-07-06 00:00:00+00:00,51.3876,-1,2731,timestamp,0.5778439762213976,50.2319120475572,51.965443976221394,True,KO_1d_15y.parquet,KO_events.csv,0,-0.01224481346125128,2733,2021-07-09 00:00:00+00:00,SL,2,2
ko,2021-11-11 00:00:00+00:00,KO_EVT_20211111_000000_31,2021-11-10 00:00:00+00:00,54.7681,1,2821,timestamp,0.6107363553081366,55.98957271061627,54.15736364469186,True,KO_1d_15y.parquet,KO_events.csv,0,-0.012151315369861915,2824,2021-11-16 00:00:00+00:00,SL,3,3
ko,2021-12-14 00:00:00+00:00,KO_EVT_20211214_000000_32,2021-12-13 00:00:00+00:00,55.7507,1,2843,timestamp,0.8624718178591897,57.475643635718384,54.888228182140814,True,KO_1d_15y.parquet,KO_events.csv,0,0.025998764141078046,2853,2021-12-29 00:00:00+00:00,TIMEOUT,10,10
ko,2022-09-23 00:00:00+00:00,KO_EVT_20220923_000000_33,2022-09-22 00:00:00+00:00,58.5448,-1,3038,timestamp,0.9685383416908768,56.60772331661825,59.51333834169088,True,KO_1d_15y.parquet,KO_events.csv,1,0.032087083453726906,3040,2022-09-27 00:00:00+00:00,TP,2,2
