symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
lly,2010-11-22 00:00:00+00:00,LLY_EVT_20101122_000000_0,2010-11-19 00:00:00+00:00,24.4706,-1,59,timestamp,0.3200566898996224,23.830486620200755,24.790656689899624,True,LLY_1d_15y.parquet,LLY_events.csv,1,0.02515846688676393,63,2010-11-29 00:00:00+00:00,TP,4,4
lly,2011-06-01 00:00:00+00:00,LLY_EVT_20110601_000000_1,2011-05-31 00:00:00+00:00,27.8963,1,190,timestamp,0.3525943426553336,28.601488685310667,27.543705657344667,True,LLY_1d_15y.parquet,LLY_events.csv,0,-0.013639466260949806,191,2011-06-02 00:00:00+00:00,SL,1,1
lly,2011-12-30 00:00:00+00:00,LLY_EVT_20111230_000000_2,2011-12-29 00:00:00+00:00,31.0624,1,338,timestamp,0.5398699845577541,32.14213996911551,30.522530015442246,True,LLY_1d_15y.parquet,LLY_events.csv,0,-0.01838017617948884,340,2012-01-04 00:00:00+00:00,SL,2,2
lly,2012-04-03 00:00:00+00:00,LLY_EVT_20120403_000000_3,2012-04-02 00:00:00+00:00,30.6879,1,402,timestamp,0.3322254885929322,31.352350977185864,30.355674511407067,True,LLY_1d_15y.parquet,LLY_events.csv,0,-0.011825944055896098,403,2012-04-04 00:00:00+00:00,SL,1,1
lly,2012-09-28 00:00:00+00:00,LLY_EVT_20120928_000000_4,2012-09-27 00:00:00+00:00,36.7496,1,526,timestamp,0.5000106196344423,37.74962123926888,36.24958938036556,True,LLY_1d_15y.parquet,LLY_events.csv,1,0.026211758475435887,530,2012-10-04 00:00:00+00:00,TP,4,4
lly,2013-02-26 00:00:00+00:00,LLY_EVT_20130226_000000_5,2013-02-25 00:00:00+00:00,42.7747,1,626,timestamp,0.5809408849119428,43.93658176982389,42.193759115088056,True,LLY_1d_15y.parquet,LLY_events.csv,1,0.026162826853815102,631,2013-03-05 00:00:00+00:00,TP,5,5
lly,2013-03-25 00:00:00+00:00,LLY_EVT_20130325_000000_6,2013-03-22 00:00:00+00:00,44.0535,1,645,timestamp,0.5048870882508095,45.06327417650162,43.54861291174919,True,LLY_1d_15y.parquet,LLY_events.csv,1,0.02192154259029644,650,2013-04-02 00:00:00+00:00,TP,5,5
lly,2013-04-22 00:00:00+00:00,LLY_EVT_20130422_000000_7,2013-04-19 00:00:00+00:00,45.4473,1,664,timestamp,0.6272758872345843,46.70185177446917,44.82002411276542,True,LLY_1d_15y.parquet,LLY_events.csv,0,-0.014802269600935225,666,2013-04-24 00:00:00+00:00,SL,2,2
lly,2014-09-25 00:00:00+00:00,LLY_EVT_20140925_000000_8,2014-09-24 00:00:00+00:00,55.0219,1,1025,timestamp,0.6050328863171845,56.23196577263437,54.41686711368282,True,LLY_1d_15y.parquet,LLY_events.csv,0,-0.011996219438390576,1026,2014-09-26 00:00:00+00:00,SL,1,1
lly,2014-11-11 00:00:00+00:00,LLY_EVT_20141111_000000_9,2014-11-10 00:00:00+00:00,57.0061,1,1058,timestamp,0.9400012255668504,58.8861024511337,56.06609877443315,True,LLY_1d_15y.parquet,LLY_events.csv,0,-0.017489484907174058,1065,2014-11-20 00:00:00+00:00,SL,7,7
