symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
msft,2010-10-28 00:00:00+00:00,MSFT_EVT_20101028_000000_0,2010-10-27 00:00:00+00:00,20.1346,1,42,timestamp,0.3351116683948059,20.80482333678961,19.799488331605197,True,MSFT_1d_15y.parquet,MSFT_events.csv,1,0.03228714435795166,43,2010-10-29 00:00:00+00:00,TP,1,1
msft,2012-01-13 00:00:00+00:00,MSFT_EVT_20120113_000000_1,2012-01-12 00:00:00+00:00,22.0381,1,347,timestamp,0.3903896062831304,22.818879212566262,21.64771039371687,True,MSFT_1d_15y.parquet,MSFT_events.csv,1,0.034428608299547636,351,2012-01-20 00:00:00+00:00,TP,4,4
msft,2012-01-27 00:00:00+00:00,MSFT_EVT_20120127_000000_2,2012-01-26 00:00:00+00:00,23.2286,1,356,timestamp,0.4217696865806732,24.072139373161345,22.80683031341933,True,MSFT_1d_15y.parquet,MSFT_events.csv,0,-0.019157344247206942,357,2012-01-30 00:00:00+00:00,SL,1,1
msft,2013-01-02 00:00:00+00:00,MSFT_EVT_20130102_000000_3,2012-12-31 00:00:00+00:00,22.1067,-1,589,timestamp,0.4144544369252668,21.277791126149467,22.52115443692527,True,MSFT_1d_15y.parquet,MSFT_events.csv,0,0.00674425852795757,599,2013-01-16 00:00:00+00:00,TIMEOUT,10,10
msft,2013-04-17 00:00:00+00:00,MSFT_EVT_20130417_000000_4,2013-04-16 00:00:00+00:00,23.601,1,661,timestamp,0.3928136439914867,24.38662728798297,23.20818635600851,True,MSFT_1d_15y.parquet,MSFT_events.csv,1,0.03228788136023775,663,2013-04-19 00:00:00+00:00,TP,2,2
msft,2013-10-11 00:00:00+00:00,MSFT_EVT_20131011_000000_5,2013-10-10 00:00:00+00:00,27.9395,1,785,timestamp,0.5387357339311666,29.016971467862334,27.400764266068837,True,MSFT_1d_15y.parquet,MSFT_events.csv,1,0.03756445061158342,787,2013-10-15 00:00:00+00:00,TP,2,2
msft,2014-03-11 00:00:00+00:00,MSFT_EVT_20140311_000000_6,2014-03-10 00:00:00+00:00,31.8905,1,887,timestamp,0.5207208579567377,32.931941715913474,31.36977914204326,True,MSFT_1d_15y.parquet,MSFT_events.csv,1,0.0316568011136068,892,2014-03-18 00:00:00+00:00,TP,5,5
msft,2015-03-16 00:00:00+00:00,MSFT_EVT_20150316_000000_7,2015-03-13 00:00:00+00:00,35.8658,-1,1142,timestamp,0.6862766052200285,34.49324678955994,36.55207660522003,True,MSFT_1d_15y.parquet,MSFT_events.csv,0,-0.020134568452956025,1144,2015-03-18 00:00:00+00:00,SL,2,2
msft,2015-05-18 00:00:00+00:00,MSFT_EVT_20150518_000000_8,2015-05-15 00:00:00+00:00,41.4946,1,1186,timestamp,0.8515291150865413,43.19765823017308,40.643070884913456,True,MSFT_1d_15y.parquet,MSFT_events.csv,0,-0.021521444117705513,1191,2015-05-26 00:00:00+00:00,SL,5,5
msft,2015-09-02 00:00:00+00:00,MSFT_EVT_20150902_000000_9,2015-09-01 00:00:00+00:00,37.1141,-1,1261,timestamp,1.0917831083199634,34.93053378336008,38.205883108319966,True,MSFT_1d_15y.parquet,MSFT_events.csv,0,-0.030416936105683967,1262,2015-09-03 00:00:00+00:00,SL,1,1
msft,2016-06-14 00:00:00+00:00,MSFT_EVT_20160614_000000_10,2016-06-13 00:00:00+00:00,44.6407,-1,1457,timestamp,0.8767458140878321,42.887208371824336,45.51744581408784,True,MSFT_1d_15y.parquet,MSFT_events.csv,0,-0.020640055243036914,1462,2016-06-21 00:00:00+00:00,SL,5,5
msft,2017-08-17 00:00:00+00:00,MSFT_EVT_20170817_000000_11,2017-08-16 00:00:00+00:00,67.8343,1,1754,timestamp,0.932917306929449,69.70013461385889,66.90138269307054,True,MSFT_1d_15y.parquet,MSFT_events.csv,0,-0.014752884704779978,1755,2017-08-18 00:00:00+00:00,SL,1,1
msft,2017-10-03 00:00:00+00:00,MSFT_EVT_20171003_000000_12,2017-10-02 00:00:00+00:00,68.8375,1,1786,timestamp,0.8681145114398442,70.57372902287969,67.96938548856016,True,MSFT_1d_15y.parquet,MSFT_events.csv,0,-0.013611069714034363,1787,2017-10-04 00:00:00+00:00,SL,1,1
msft,2017-12-22 00:00:00+00:00,MSFT_EVT_20171222_000000_13,2017-12-21 00:00:00+00:00,79.1255,1,1843,timestamp,1.1757584573238435,81.47701691464769,77.94974154267616,True,MSFT_1d_15y.parquet,MSFT_events.csv,1,0.0287188253426226,1851,2018-01-05 00:00:00+00:00,TP,8,8
msft,2018-09-21 00:00:00+00:00,MSFT_EVT_20180921_000000_14,2018-09-20 00:00:00+00:00,107.0,1,2030,timestamp,1.637185006168595,110.2743700123372,105.3628149938314,True,MSFT_1d_15y.parquet,MSFT_events.csv,0,-0.01630079445017374,2031,2018-09-24 00:00:00+00:00,SL,1,1
