symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
nflx,2010-12-13 00:00:00+00:00,NFLX_EVT_20101213_000000_0,2010-12-10 00:00:00+00:00,27.507,1,73,timestamp,1.062611239006206,29.63222247801241,26.4443887609938,True,NFLX_1d_15y.parquet,NFLX_events.csv,0,-0.039630575453746375,74,2010-12-14 00:00:00+00:00,SL,1,1
nflx,2011-07-20 00:00:00+00:00,NFLX_EVT_20110720_000000_1,2011-07-19 00:00:00+00:00,40.429,1,223,timestamp,1.3578574486546804,43.14471489730936,39.071142551345325,True,NFLX_1d_15y.parquet,NFLX_events.csv,0,-0.034586223964349294,225,2011-07-22 00:00:00+00:00,SL,2,2
nflx,2011-09-06 00:00:00+00:00,NFLX_EVT_20110906_000000_2,2011-09-02 00:00:00+00:00,29.869,-1,256,timestamp,1.6749879844644258,26.519024031071147,31.543987984464422,True,NFLX_1d_15y.parquet,NFLX_events.csv,0,-0.057077805901249445,257,2011-09-07 00:00:00+00:00,SL,1,1
nflx,2011-10-26 00:00:00+00:00,NFLX_EVT_20111026_000000_3,2011-10-25 00:00:00+00:00,11.247,-1,292,timestamp,1.5913820376716492,8.064235924656701,12.83838203767165,True,NFLX_1d_15y.parquet,NFLX_events.csv,0,-0.14249391283645851,298,2011-11-03 00:00:00+00:00,SL,6,6
nflx,2011-11-22 00:00:00+00:00,NFLX_EVT_20111122_000000_4,2011-11-21 00:00:00+00:00,9.887,-1,311,timestamp,1.0003001043766455,7.886399791246709,10.887300104376646,True,NFLX_1d_15y.parquet,NFLX_events.csv,0,-0.04074916557095165,321,2011-12-07 00:00:00+00:00,TIMEOUT,10,10
nflx,2012-02-22 00:00:00+00:00,NFLX_EVT_20120222_000000_5,2012-02-21 00:00:00+00:00,16.417,1,372,timestamp,0.8372482905748317,18.091496581149663,15.57975170942517,True,NFLX_1d_15y.parquet,NFLX_events.csv,0,-0.0519988603627235,375,2012-02-27 00:00:00+00:00,SL,3,3
nflx,2012-07-12 00:00:00+00:00,NFLX_EVT_20120712_000000_6,2012-07-11 00:00:00+00:00,11.646,1,470,timestamp,0.5317480753132847,12.70949615062657,11.114251924686716,True,NFLX_1d_15y.parquet,NFLX_events.csv,0,-0.04665928862384383,479,2012-07-25 00:00:00+00:00,SL,9,9
nflx,2012-07-20 00:00:00+00:00,NFLX_EVT_20120720_000000_7,2012-07-19 00:00:00+00:00,11.809,1,476,timestamp,0.5106271931119971,12.830254386223992,11.298372806888002,True,NFLX_1d_15y.parquet,NFLX_events.csv,0,-0.044240510891015106,477,2012-07-23 00:00:00+00:00,SL,1,1
nflx,2013-01-22 00:00:00+00:00,NFLX_EVT_20130122_000000_8,2013-01-18 00:00:00+00:00,14.236,1,601,timestamp,0.5581055972534582,15.352211194506918,13.677894402746542,True,NFLX_1d_15y.parquet,NFLX_events.csv,1,0.07740764221037633,603,2013-01-24 00:00:00+00:00,TP,2,2
nflx,2014-01-29 00:00:00+00:00,NFLX_EVT_20140129_000000_9,2014-01-28 00:00:00+00:00,57.589,1,858,timestamp,1.952972189290632,61.49494437858127,55.636027810709365,True,NFLX_1d_15y.parquet,NFLX_events.csv,1,0.06682448694336196,865,2014-02-07 00:00:00+00:00,TP,7,7
