symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
nvda,2010-11-19 00:00:00+00:00,NVDA_EVT_20101119_000000_0,2010-11-18 00:00:00+00:00,0.304435,1,58,timestamp,0.0098243839907518,0.3240837679815038,0.2946106160092481,True,NVDA_1d_15y.parquet,NVDA_events.csv,1,0.06354175105196103,65,2010-12-01 00:00:00+00:00,TP,7,7
nvda,2010-12-21 00:00:00+00:00,NVDA_EVT_20101221_000000_1,2010-12-20 00:00:00+00:00,0.331346,1,79,timestamp,0.0097032164900685,0.350752432980137,0.3216427835099315,True,NVDA_1d_15y.parquet,NVDA_events.csv,1,0.05756848424347061,86,2010-12-31 00:00:00+00:00,TP,7,7
nvda,2012-02-09 00:00:00+00:00,NVDA_EVT_20120209_000000_2,2012-02-08 00:00:00+00:00,0.377687,1,365,timestamp,0.0118561765854648,0.4013993531709296,0.3658308234145351,True,NVDA_1d_15y.parquet,NVDA_events.csv,0,-0.03239154004629463,366,2012-02-10 00:00:00+00:00,SL,1,1
nvda,2013-11-14 00:00:00+00:00,NVDA_EVT_20131114_000000_3,2013-11-13 00:00:00+00:00,0.377647,1,809,timestamp,0.0076950762866206,0.3930371525732414,0.3699519237133793,True,NVDA_1d_15y.parquet,NVDA_events.csv,0,-0.021376373403259374,811,2013-11-18 00:00:00+00:00,SL,2,2
nvda,2014-08-01 00:00:00+00:00,NVDA_EVT_20140801_000000_4,2014-07-31 00:00:00+00:00,0.416437,-1,987,timestamp,0.0091567445458797,0.3981235109082406,0.4255937445458797,True,NVDA_1d_15y.parquet,NVDA_events.csv,0,-0.0229883068648552,989,2014-08-05 00:00:00+00:00,SL,2,2
nvda,2014-12-04 00:00:00+00:00,NVDA_EVT_20141204_000000_5,2014-12-03 00:00:00+00:00,0.506703,1,1074,timestamp,0.0104944184182746,0.5276918368365494,0.4962085815817253,True,NVDA_1d_15y.parquet,NVDA_events.csv,0,-0.021711182720991817,1076,2014-12-08 00:00:00+00:00,SL,2,2
nvda,2015-11-02 00:00:00+00:00,NVDA_EVT_20151102_000000_6,2015-10-30 00:00:00+00:00,0.691737,1,1303,timestamp,0.0175740568683518,0.7268851137367037,0.6741629431316483,True,NVDA_1d_15y.parquet,NVDA_events.csv,0,-0.02640569156825756,1306,2015-11-05 00:00:00+00:00,SL,3,3
nvda,2016-02-08 00:00:00+00:00,NVDA_EVT_20160208_000000_7,2016-02-05 00:00:00+00:00,0.635082,-1,1369,timestamp,0.0247234964977596,0.5856350070044808,0.6598054964977597,True,NVDA_1d_15y.parquet,NVDA_events.csv,0,-0.03992961302282161,1375,2016-02-17 00:00:00+00:00,SL,6,6
nvda,2016-06-21 00:00:00+00:00,NVDA_EVT_20160621_000000_8,2016-06-20 00:00:00+00:00,1.17264,1,1462,timestamp,0.0264059975522775,1.225451995104555,1.1462340024477224,True,NVDA_1d_15y.parquet,NVDA_events.csv,0,-0.0235184178880794,1465,2016-06-24 00:00:00+00:00,SL,3,3
nvda,2016-11-14 00:00:00+00:00,NVDA_EVT_20161114_000000_9,2016-11-11 00:00:00+00:00,2.16667,1,1564,timestamp,0.0732892438679734,2.313248487735947,2.0933807561320266,True,NVDA_1d_15y.parquet,NVDA_events.csv,0,-0.03482575282252176,1565,2016-11-15 00:00:00+00:00,SL,1,1
