symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
oxy,2012-04-23 00:00:00+00:00,OXY_EVT_20120423_000000_0,2012-04-20 00:00:00+00:00,60.8106,-1,415,timestamp,1.499885984536008,57.81082803092799,62.31048598453601,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.025664877250611062,417,2012-04-25 00:00:00+00:00,SL,2,2
oxy,2012-06-01 00:00:00+00:00,OXY_EVT_20120601_000000_1,2012-05-31 00:00:00+00:00,54.3471,-1,443,timestamp,1.5662630739023775,51.21457385219525,55.91336307390237,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.02981962559000151,444,2012-06-04 00:00:00+00:00,SL,1,1
oxy,2012-07-16 00:00:00+00:00,OXY_EVT_20120716_000000_2,2012-07-13 00:00:00+00:00,59.8305,1,473,timestamp,1.6238313426249968,63.07816268524999,58.206668657375005,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.02814052770117237,479,2012-07-24 00:00:00+00:00,SL,6,6
oxy,2013-08-21 00:00:00+00:00,OXY_EVT_20130821_000000_3,2013-08-20 00:00:00+00:00,61.8663,-1,749,timestamp,0.9915525587971756,59.88319488240565,62.85785255879718,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.017027345401247174,751,2013-08-23 00:00:00+00:00,SL,2,2
oxy,2013-09-25 00:00:00+00:00,OXY_EVT_20130925_000000_4,2013-09-24 00:00:00+00:00,67.8586,1,773,timestamp,1.0380598723111,69.9347197446222,66.8205401276889,True,OXY_1d_15y.parquet,OXY_events.csv,0,0.007174350782362394,783,2013-10-09 00:00:00+00:00,TIMEOUT,10,10
oxy,2013-11-22 00:00:00+00:00,OXY_EVT_20131122_000000_5,2013-11-21 00:00:00+00:00,71.9145,1,815,timestamp,1.1008980167353442,74.11629603347069,70.81360198326466,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.016308428991863133,817,2013-11-26 00:00:00+00:00,SL,2,2
oxy,2014-02-03 00:00:00+00:00,OXY_EVT_20140203_000000_6,2014-01-31 00:00:00+00:00,64.3675,-1,862,timestamp,1.13725830374279,62.09298339251443,65.50475830374279,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.018668206839519752,866,2014-02-07 00:00:00+00:00,SL,4,4
oxy,2014-03-18 00:00:00+00:00,OXY_EVT_20140318_000000_7,2014-03-17 00:00:00+00:00,71.7275,1,892,timestamp,0.9658616684645884,73.65922333692919,70.76163833153542,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.014465709364812396,893,2014-03-19 00:00:00+00:00,SL,1,1
oxy,2014-05-29 00:00:00+00:00,OXY_EVT_20140529_000000_8,2014-05-28 00:00:00+00:00,73.2317,1,942,timestamp,0.956248993301768,75.14419798660354,72.27545100669823,True,OXY_1d_15y.parquet,OXY_events.csv,1,0.025115712001818058,952,2014-06-12 00:00:00+00:00,TP,10,10
oxy,2014-06-20 00:00:00+00:00,OXY_EVT_20140620_000000_9,2014-06-19 00:00:00+00:00,77.0557,1,958,timestamp,0.8600119255283296,78.77572385105665,76.19568807447168,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.012160912502622523,960,2014-06-24 00:00:00+00:00,SL,2,2
oxy,2014-12-01 00:00:00+00:00,OXY_EVT_20141201_000000_10,2014-11-28 00:00:00+00:00,57.9476,-1,1071,timestamp,1.6372982742637452,54.67300345147251,59.58489827426374,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.029254807347737333,1072,2014-12-02 00:00:00+00:00,SL,1,1
oxy,2015-03-30 00:00:00+00:00,OXY_EVT_20150330_000000_11,2015-03-27 00:00:00+00:00,56.038,-1,1152,timestamp,1.291984708279715,53.45403058344057,57.32998470827971,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.024055510694166782,1156,2015-04-06 00:00:00+00:00,SL,4,4
oxy,2015-05-07 00:00:00+00:00,OXY_EVT_20150507_000000_12,2015-05-06 00:00:00+00:00,59.9826,1,1179,timestamp,1.1864074839573713,62.35541496791474,58.79619251604262,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.020779194032225612,1180,2015-05-08 00:00:00+00:00,SL,1,1
oxy,2015-12-18 00:00:00+00:00,OXY_EVT_20151218_000000_13,2015-12-17 00:00:00+00:00,52.2854,-1,1336,timestamp,1.6639029656206503,48.9575940687587,53.94930296562065,True,OXY_1d_15y.parquet,OXY_events.csv,0,-0.0328234720518662,1339,2015-12-23 00:00:00+00:00,SL,3,3
