symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
pfe,2011-01-04 00:00:00+00:00,PFE_EVT_20110104_000000_0,2011-01-03 00:00:00+00:00,11.6172,1,88,timestamp,0.1650547004212378,11.947309400842476,11.452145299578763,True,PFE_1d_15y.parquet,PFE_events.csv,1,0.027415573532561743,90,2011-01-06 00:00:00+00:00,TP,2,2
pfe,2011-03-01 00:00:00+00:00,PFE_EVT_20110301_000000_1,2011-02-28 00:00:00+00:00,12.6263,1,126,timestamp,0.2096241069970189,13.04554821399404,12.41667589300298,True,PFE_1d_15y.parquet,PFE_events.csv,0,-0.017602180131710887,127,2011-03-02 00:00:00+00:00,SL,1,1
pfe,2011-03-31 00:00:00+00:00,PFE_EVT_20110331_000000_2,2011-03-30 00:00:00+00:00,13.2294,1,148,timestamp,0.2349971356662032,13.699394271332409,12.994402864333797,True,PFE_1d_15y.parquet,PFE_events.csv,0,0.009703433262279515,158,2011-04-14 00:00:00+00:00,TIMEOUT,10,10
pfe,2012-08-06 00:00:00+00:00,PFE_EVT_20120806_000000_3,2012-08-03 00:00:00+00:00,16.7964,1,488,timestamp,0.2655308068877929,17.327461613775583,16.530869193112206,True,PFE_1d_15y.parquet,PFE_events.csv,0,-0.016808792770343195,489,2012-08-07 00:00:00+00:00,SL,1,1
pfe,2012-11-27 00:00:00+00:00,PFE_EVT_20121127_000000_4,2012-11-26 00:00:00+00:00,16.9584,-1,565,timestamp,0.2420097660892676,16.474380467821465,17.20040976608927,True,PFE_1d_15y.parquet,PFE_events.csv,0,-0.015270790056212236,566,2012-11-28 00:00:00+00:00,SL,1,1
pfe,2012-12-18 00:00:00+00:00,PFE_EVT_20121218_000000_5,2012-12-17 00:00:00+00:00,17.7215,1,580,timestamp,0.237943179783124,18.19738635956625,17.483556820216876,True,PFE_1d_15y.parquet,PFE_events.csv,0,-0.014426808102199207,584,2012-12-24 00:00:00+00:00,SL,4,4
pfe,2013-01-03 00:00:00+00:00,PFE_EVT_20130103_000000_6,2013-01-02 00:00:00+00:00,18.1636,1,590,timestamp,0.2605851182659445,18.68477023653189,17.903014881734055,True,PFE_1d_15y.parquet,PFE_events.csv,1,0.027693113508990064,595,2013-01-10 00:00:00+00:00,TP,5,5
pfe,2013-04-10 00:00:00+00:00,PFE_EVT_20130410_000000_7,2013-04-09 00:00:00+00:00,20.7995,1,656,timestamp,0.2582222536762819,21.31594450735256,20.541277746323715,True,PFE_1d_15y.parquet,PFE_events.csv,1,0.023829659720308816,657,2013-04-11 00:00:00+00:00,TP,1,1
pfe,2013-10-17 00:00:00+00:00,PFE_EVT_20131017_000000_8,2013-10-16 00:00:00+00:00,21.3783,1,789,timestamp,0.3073730485967025,21.993046097193403,21.070926951403298,True,PFE_1d_15y.parquet,PFE_events.csv,1,0.027755611867800734,790,2013-10-18 00:00:00+00:00,TP,1,1
pfe,2013-11-05 00:00:00+00:00,PFE_EVT_20131105_000000_9,2013-11-04 00:00:00+00:00,22.3776,1,802,timestamp,0.3103648650068624,22.99832973001373,22.06723513499314,True,PFE_1d_15y.parquet,PFE_events.csv,1,0.02673888754887599,808,2013-11-13 00:00:00+00:00,TP,6,6
