symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
pg,2011-01-21 00:00:00+00:00,PG_EVT_20110121_000000_0,2011-01-20 00:00:00+00:00,46.3569,1,100,timestamp,0.4584635024061029,47.27382700481221,45.8984364975939,True,PG_1d_15y.parquet,PG_events.csv,0,-0.010889865422539113,104,2011-01-27 00:00:00+00:00,SL,4,4
pg,2011-02-28 00:00:00+00:00,PG_EVT_20110228_000000_1,2011-02-25 00:00:00+00:00,44.2043,-1,125,timestamp,0.5410568500628379,43.12218629987433,44.74535685006284,True,PG_1d_15y.parquet,PG_events.csv,0,-0.013239914444134082,126,2011-03-01 00:00:00+00:00,SL,1,1
pg,2011-03-23 00:00:00+00:00,PG_EVT_20110323_000000_2,2011-03-22 00:00:00+00:00,42.8241,-1,142,timestamp,0.5513104209478603,41.72147915810428,43.37541042094786,True,PG_1d_15y.parquet,PG_events.csv,0,-0.013873835549325197,147,2011-03-30 00:00:00+00:00,SL,5,5
pg,2011-05-11 00:00:00+00:00,PG_EVT_20110511_000000_3,2011-05-10 00:00:00+00:00,46.6943,1,176,timestamp,0.5469253644820514,47.7881507289641,46.14737463551795,True,PG_1d_15y.parquet,PG_events.csv,1,0.022425787065318503,180,2011-05-17 00:00:00+00:00,TP,4,4
pg,2011-07-28 00:00:00+00:00,PG_EVT_20110728_000000_4,2011-07-27 00:00:00+00:00,44.4775,-1,230,timestamp,0.4961812951892185,43.485137409621565,44.973681295189216,True,PG_1d_15y.parquet,PG_events.csv,1,0.021311564057746812,233,2011-08-02 00:00:00+00:00,TP,3,3
pg,2013-02-25 00:00:00+00:00,PG_EVT_20130225_000000_5,2013-02-22 00:00:00+00:00,57.94,1,625,timestamp,0.636118983625775,59.212237967251546,57.30388101637422,True,PG_1d_15y.parquet,PG_events.csv,0,-0.01197892619305796,626,2013-02-26 00:00:00+00:00,SL,1,1
pg,2013-04-19 00:00:00+00:00,PG_EVT_20130419_000000_6,2013-04-18 00:00:00+00:00,60.4192,1,663,timestamp,0.7046814415950862,61.828562883190166,59.71451855840491,True,PG_1d_15y.parquet,PG_events.csv,1,0.022326407552403338,665,2013-04-23 00:00:00+00:00,TP,2,2
pg,2013-08-01 00:00:00+00:00,PG_EVT_20130801_000000_7,2013-07-31 00:00:00+00:00,62.273,1,735,timestamp,0.7844706754068539,63.84194135081371,61.48852932459315,True,PG_1d_15y.parquet,PG_events.csv,0,-0.013597284142515265,736,2013-08-02 00:00:00+00:00,SL,1,1
pg,2013-10-29 00:00:00+00:00,PG_EVT_20131029_000000_8,2013-10-28 00:00:00+00:00,62.639,1,797,timestamp,0.8492614278165613,64.33752285563313,61.78973857218344,True,PG_1d_15y.parquet,PG_events.csv,0,0.015440236913105143,807,2013-11-12 00:00:00+00:00,TIMEOUT,10,10
pg,2013-11-05 00:00:00+00:00,PG_EVT_20131105_000000_9,2013-11-04 00:00:00+00:00,62.3824,1,802,timestamp,0.8363298937984873,64.05505978759697,61.54607010620151,True,PG_1d_15y.parquet,PG_events.csv,1,0.025813007957324108,808,2013-11-13 00:00:00+00:00,TP,6,6
pg,2013-12-09 00:00:00+00:00,PG_EVT_20131209_000000_10,2013-12-06 00:00:00+00:00,64.9357,1,825,timestamp,0.7867263647673939,66.50915272953479,64.14897363523261,True,PG_1d_15y.parquet,PG_events.csv,0,-0.013115467528145408,828,2013-12-12 00:00:00+00:00,SL,3,3
pg,2014-01-02 00:00:00+00:00,PG_EVT_20140102_000000_11,2013-12-31 00:00:00+00:00,62.5373,-1,841,timestamp,0.7601788129484862,61.01694237410303,63.29747881294849,True,PG_1d_15y.parquet,PG_events.csv,0,0.008448760979447578,851,2014-01-16 00:00:00+00:00,TIMEOUT,10,10
pg,2015-08-12 00:00:00+00:00,PG_EVT_20150812_000000_12,2015-08-11 00:00:00+00:00,61.6119,-1,1246,timestamp,0.7217709341685771,60.16835813166284,62.33367093416857,True,PG_1d_15y.parquet,PG_events.csv,1,0.022429595067465113,1251,2015-08-19 00:00:00+00:00,TP,5,5
pg,2015-08-18 00:00:00+00:00,PG_EVT_20150818_000000_13,2015-08-17 00:00:00+00:00,61.3583,-1,1250,timestamp,0.7176444000736449,59.92301119985271,62.075944400073645,True,PG_1d_15y.parquet,PG_events.csv,1,0.02239192578913185,1252,2015-08-20 00:00:00+00:00,TP,2,2
pg,2016-09-06 00:00:00+00:00,PG_EVT_20160906_000000_14,2016-09-02 00:00:00+00:00,74.0928,1,1515,timestamp,0.730682378828452,75.5541647576569,73.36211762117155,True,PG_1d_15y.parquet,PG_events.csv,0,-0.010861719071602716,1518,2016-09-09 00:00:00+00:00,SL,3,3
pg,2016-11-17 00:00:00+00:00,PG_EVT_20161117_000000_15,2016-11-16 00:00:00+00:00,70.4504,-1,1567,timestamp,1.1398897577072356,68.17062048458553,71.59028975770724,True,PG_1d_15y.parquet,PG_events.csv,0,0.009474035633580402,1577,2016-12-02 00:00:00+00:00,TIMEOUT,10,10
pg,2016-12-01 00:00:00+00:00,PG_EVT_20161201_000000_16,2016-11-30 00:00:00+00:00,69.5537,-1,1576,timestamp,0.9445086595543007,67.6646826808914,70.49820865955431,True,PG_1d_15y.parquet,PG_events.csv,0,-0.01457956024703655,1580,2016-12-07 00:00:00+00:00,SL,4,4
pg,2017-02-08 00:00:00+00:00,PG_EVT_20170208_000000_17,2017-02-07 00:00:00+00:00,75.104,1,1622,timestamp,0.7740700325920654,76.65214006518413,74.32992996740794,True,PG_1d_15y.parquet,PG_events.csv,1,0.019613283782277002,1627,2017-02-15 00:00:00+00:00,TP,5,5
pg,2017-05-18 00:00:00+00:00,PG_EVT_20170518_000000_18,2017-05-17 00:00:00+00:00,74.0532,-1,1691,timestamp,0.6320916075116679,72.78901678497667,74.68529160751167,True,PG_1d_15y.parquet,PG_events.csv,0,-0.009535642045335968,1696,2017-05-25 00:00:00+00:00,SL,5,5
pg,2017-07-20 00:00:00+00:00,PG_EVT_20170720_000000_19,2017-07-19 00:00:00+00:00,76.4861,1,1734,timestamp,0.675645304508065,77.83739060901613,75.81045469549193,True,PG_1d_15y.parquet,PG_events.csv,1,0.01666713963734756,1739,2017-07-27 00:00:00+00:00,TP,5,5
pg,2017-11-07 00:00:00+00:00,PG_EVT_20171107_000000_20,2017-11-06 00:00:00+00:00,75.0714,-1,1811,timestamp,0.878465674250135,73.31446865149972,75.94986567425013,True,PG_1d_15y.parquet,PG_events.csv,0,-0.012701735604373154,1812,2017-11-08 00:00:00+00:00,SL,1,1
pg,2018-05-09 00:00:00+00:00,PG_EVT_20180509_000000_21,2018-05-08 00:00:00+00:00,63.6846,-1,1936,timestamp,1.0213180836815958,61.64196383263681,64.7059180836816,True,PG_1d_15y.parquet,PG_events.csv,0,-0.017037128029093185,1937,2018-05-10 00:00:00+00:00,SL,1,1
pg,2018-06-20 00:00:00+00:00,PG_EVT_20180620_000000_22,2018-06-19 00:00:00+00:00,67.7493,1,1965,timestamp,1.0112781915974227,69.77185638319484,66.73802180840258,True,PG_1d_15y.parquet,PG_events.csv,1,0.02885353919811473,1970,2018-06-27 00:00:00+00:00,TP,5,5
pg,2018-07-03 00:00:00+00:00,PG_EVT_20180703_000000_23,2018-07-02 00:00:00+00:00,69.6898,1,1974,timestamp,0.9692800442856228,71.62836008857126,68.72051995571438,True,PG_1d_15y.parquet,PG_events.csv,0,0.014033763908061103,1984,2018-07-18 00:00:00+00:00,TIMEOUT,10,10
pg,2019-04-16 00:00:00+00:00,PG_EVT_20190416_000000_24,2019-04-15 00:00:00+00:00,96.5012,1,2171,timestamp,1.0625390784364734,98.62627815687294,95.43866092156352,True,PG_1d_15y.parquet,PG_events.csv,0,-0.012010630732431027,2175,2019-04-23 00:00:00+00:00,SL,4,4
pg,2019-07-03 00:00:00+00:00,PG_EVT_20190703_000000_25,2019-07-02 00:00:00+00:00,102.67,1,2225,timestamp,1.365198260719863,105.40039652143972,101.30480173928014,True,PG_1d_15y.parquet,PG_events.csv,1,0.02559390787415705,2231,2019-07-12 00:00:00+00:00,TP,6,6
pg,2021-07-16 00:00:00+00:00,PG_EVT_20210716_000000_26,2021-07-15 00:00:00+00:00,134.249,1,2738,timestamp,1.4906978576224992,137.23039571524498,132.7583021423775,True,PG_1d_15y.parquet,PG_events.csv,0,-0.01210397736759683,2742,2021-07-22 00:00:00+00:00,SL,4,4
