symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
t,2011-01-27 00:00:00+00:00,T_EVT_20110127_000000_0,2011-01-26 00:00:00+00:00,10.7942,1,104,timestamp,0.1395614461788429,11.073322892357686,10.654638553821156,True,T_1d_15y.parquet,T_events.csv,0,-0.01392929964044054,105,2011-01-28 00:00:00+00:00,SL,1,1
t,2011-04-18 00:00:00+00:00,T_EVT_20110418_000000_1,2011-04-15 00:00:00+00:00,11.8626,1,160,timestamp,0.1711702244014316,12.204940448802864,11.69142977559857,True,T_1d_15y.parquet,T_events.csv,0,-0.01542940201991394,162,2011-04-20 00:00:00+00:00,SL,2,2
t,2012-02-06 00:00:00+00:00,T_EVT_20120206_000000_2,2012-02-03 00:00:00+00:00,12.1502,1,362,timestamp,0.1504140408068522,12.451028081613703,11.999785959193147,True,T_1d_15y.parquet,T_events.csv,0,0.016110829451367104,372,2012-02-21 00:00:00+00:00,TIMEOUT,10,10
t,2012-05-21 00:00:00+00:00,T_EVT_20120521_000000_3,2012-05-18 00:00:00+00:00,13.9236,1,435,timestamp,0.1738699137773629,14.271339827554726,13.749730086222636,True,T_1d_15y.parquet,T_events.csv,0,-0.013487425218863258,437,2012-05-23 00:00:00+00:00,SL,2,2
t,2012-09-12 00:00:00+00:00,T_EVT_20120912_000000_4,2012-09-11 00:00:00+00:00,15.7458,1,514,timestamp,0.1879188788272789,16.121637757654558,15.55788112117272,True,T_1d_15y.parquet,T_events.csv,0,-0.012934539929840283,516,2012-09-14 00:00:00+00:00,SL,2,2
t,2012-10-02 00:00:00+00:00,T_EVT_20121002_000000_5,2012-10-01 00:00:00+00:00,15.863,1,528,timestamp,0.1999732726681934,16.262946545336387,15.663026727331806,True,T_1d_15y.parquet,T_events.csv,0,-0.013606270734929926,534,2012-10-10 00:00:00+00:00,SL,6,6
t,2013-02-19 00:00:00+00:00,T_EVT_20130219_000000_6,2013-02-15 00:00:00+00:00,15.1567,1,621,timestamp,0.2021051135354878,15.560910227070975,14.954594886464513,True,T_1d_15y.parquet,T_events.csv,1,0.02566874894079685,631,2013-03-05 00:00:00+00:00,TP,10,10
t,2013-06-21 00:00:00+00:00,T_EVT_20130621_000000_7,2013-06-20 00:00:00+00:00,14.9803,-1,707,timestamp,0.2589348483872257,14.462430303225547,15.239234848387223,True,T_1d_15y.parquet,T_events.csv,0,-0.01828502422429612,709,2013-06-25 00:00:00+00:00,SL,2,2
t,2014-02-19 00:00:00+00:00,T_EVT_20140219_000000_8,2014-02-18 00:00:00+00:00,14.752,-1,873,timestamp,0.2447362103865947,14.262527579226813,14.996736210386596,True,T_1d_15y.parquet,T_events.csv,0,-0.017590035953538252,874,2014-02-20 00:00:00+00:00,SL,1,1
t,2014-10-15 00:00:00+00:00,T_EVT_20141015_000000_9,2014-10-14 00:00:00+00:00,15.7934,-1,1039,timestamp,0.1908303928162464,15.411739214367508,15.984230392816247,True,T_1d_15y.parquet,T_events.csv,0,-0.013082920258857933,1041,2014-10-17 00:00:00+00:00,SL,2,2
t,2016-05-03 00:00:00+00:00,T_EVT_20160503_000000_10,2016-05-02 00:00:00+00:00,19.8624,1,1428,timestamp,0.2447680918234823,20.351936183646966,19.61763190817652,True,T_1d_15y.parquet,T_events.csv,0,-0.013323188125477281,1431,2016-05-06 00:00:00+00:00,SL,3,3
t,2016-08-30 00:00:00+00:00,T_EVT_20160830_000000_11,2016-08-29 00:00:00+00:00,21.1777,-1,1511,timestamp,0.2528742947878658,20.67195141042427,21.430574294787867,True,T_1d_15y.parquet,T_events.csv,1,0.022881185850008756,1518,2016-09-09 00:00:00+00:00,TP,7,7
t,2016-09-12 00:00:00+00:00,T_EVT_20160912_000000_12,2016-09-09 00:00:00+00:00,20.369,-1,1519,timestamp,0.2702887817139466,19.828422436572108,20.639288781713947,True,T_1d_15y.parquet,T_events.csv,0,-0.014269614694582322,1520,2016-09-13 00:00:00+00:00,SL,1,1
t,2016-11-03 00:00:00+00:00,T_EVT_20161103_000000_13,2016-11-02 00:00:00+00:00,19.0487,-1,1557,timestamp,0.313898628734797,18.420902742530405,19.3625986287348,True,T_1d_15y.parquet,T_events.csv,0,-0.017478742839920902,1561,2016-11-09 00:00:00+00:00,SL,4,4
t,2017-04-10 00:00:00+00:00,T_EVT_20170410_000000_14,2017-04-07 00:00:00+00:00,21.6555,-1,1664,timestamp,0.2177376362120822,21.22002472757584,21.87323763621208,True,T_1d_15y.parquet,T_events.csv,1,0.01910922271128168,1674,2017-04-25 00:00:00+00:00,TP,10,10
t,2017-05-18 00:00:00+00:00,T_EVT_20170518_000000_15,2017-05-17 00:00:00+00:00,20.0009,-1,1691,timestamp,0.2549614771318074,19.490977045736383,20.25586147713181,True,T_1d_15y.parquet,T_events.csv,0,-0.013747500219080444,1692,2017-05-19 00:00:00+00:00,SL,1,1
t,2017-06-16 00:00:00+00:00,T_EVT_20170616_000000_16,2017-06-15 00:00:00+00:00,20.7839,1,1711,timestamp,0.2135574670002474,21.21101493400049,20.570342532999756,True,T_1d_15y.parquet,T_events.csv,0,-0.011275139266463063,1714,2017-06-21 00:00:00+00:00,SL,3,3
t,2017-07-24 00:00:00+00:00,T_EVT_20170724_000000_17,2017-07-21 00:00:00+00:00,19.7271,-1,1736,timestamp,0.2134481596435462,19.300203680712908,19.940548159643548,True,T_1d_15y.parquet,T_events.csv,0,-0.01182004753073429,1738,2017-07-26 00:00:00+00:00,SL,2,2
