symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
tmo,2011-05-25 00:00:00+00:00,TMO_EVT_20110525_000000_0,2011-05-24 00:00:00+00:00,61.237,1,186,timestamp,1.0585312526330826,63.35406250526616,60.17846874736692,True,TMO_1d_15y.parquet,TMO_events.csv,0,-0.01828581172547772,192,2011-06-03 00:00:00+00:00,SL,6,6
tmo,2011-11-17 00:00:00+00:00,TMO_EVT_20111117_000000_1,2011-11-16 00:00:00+00:00,46.0061,-1,309,timestamp,1.6422816995945817,42.72153660081084,47.64838169959459,True,TMO_1d_15y.parquet,TMO_events.csv,1,0.07039408467983943,311,2011-11-21 00:00:00+00:00,TP,2,2
tmo,2011-12-29 00:00:00+00:00,TMO_EVT_20111229_000000_2,2011-12-28 00:00:00+00:00,42.3951,-1,337,timestamp,1.1641630116151545,40.06677397676969,43.55926301161515,True,TMO_1d_15y.parquet,TMO_events.csv,0,-0.02845984822810077,339,2012-01-03 00:00:00+00:00,SL,2,2
tmo,2012-12-06 00:00:00+00:00,TMO_EVT_20121206_000000_3,2012-12-05 00:00:00+00:00,61.4058,1,572,timestamp,1.0356497577954622,63.47709951559092,60.37015024220454,True,TMO_1d_15y.parquet,TMO_events.csv,0,0.022427754381508014,582,2012-12-20 00:00:00+00:00,TIMEOUT,10,10
tmo,2013-01-17 00:00:00+00:00,TMO_EVT_20130117_000000_4,2013-01-16 00:00:00+00:00,65.5908,1,600,timestamp,0.9090456535255818,67.40889130705116,64.68175434647442,True,TMO_1d_15y.parquet,TMO_events.csv,1,0.02671869388772763,603,2013-01-23 00:00:00+00:00,TP,3,3
tmo,2013-11-04 00:00:00+00:00,TMO_EVT_20131104_000000_5,2013-11-01 00:00:00+00:00,95.3178,1,801,timestamp,1.342816638376253,98.00343327675252,93.97498336162376,True,TMO_1d_15y.parquet,TMO_events.csv,0,-0.015087784635988699,802,2013-11-05 00:00:00+00:00,SL,1,1
tmo,2013-12-09 00:00:00+00:00,TMO_EVT_20131209_000000_6,2013-12-06 00:00:00+00:00,99.8553,1,825,timestamp,1.357712772503089,102.57072554500618,98.49758722749692,True,TMO_1d_15y.parquet,TMO_events.csv,0,-0.014596802297955902,826,2013-12-10 00:00:00+00:00,SL,1,1
tmo,2014-10-30 00:00:00+00:00,TMO_EVT_20141030_000000_7,2014-10-29 00:00:00+00:00,112.964,-1,1050,timestamp,2.490303548215703,107.9833929035686,115.4543035482157,True,TMO_1d_15y.parquet,TMO_events.csv,0,-0.02304510771764201,1051,2014-10-31 00:00:00+00:00,SL,1,1
tmo,2014-12-04 00:00:00+00:00,TMO_EVT_20141204_000000_8,2014-12-03 00:00:00+00:00,125.513,1,1074,timestamp,2.028757512505607,129.57051502501122,123.4842424874944,True,TMO_1d_15y.parquet,TMO_events.csv,0,-0.017163724176026407,1077,2014-12-09 00:00:00+00:00,SL,3,3
tmo,2015-07-15 00:00:00+00:00,TMO_EVT_20150715_000000_9,2015-07-14 00:00:00+00:00,134.328,1,1226,timestamp,1.970793321486168,138.26958664297234,132.35720667851385,True,TMO_1d_15y.parquet,TMO_events.csv,0,-0.015671500517287162,1228,2015-07-17 00:00:00+00:00,SL,2,2
tmo,2015-09-29 00:00:00+00:00,TMO_EVT_20150929_000000_10,2015-09-28 00:00:00+00:00,115.859,-1,1279,timestamp,3.256257841003816,109.34648431799236,119.1152578410038,True,TMO_1d_15y.parquet,TMO_events.csv,0,-0.02910535082301602,1280,2015-09-30 00:00:00+00:00,SL,1,1
tmo,2016-08-05 00:00:00+00:00,TMO_EVT_20160805_000000_11,2016-08-04 00:00:00+00:00,154.585,1,1494,timestamp,2.1978998481360548,158.98079969627213,152.38710015186396,True,TMO_1d_15y.parquet,TMO_events.csv,0,-0.015218066747330283,1499,2016-08-12 00:00:00+00:00,SL,5,5
