symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
v,2010-11-01 00:00:00+00:00,V_EVT_20101101_000000_0,2010-10-29 00:00:00+00:00,17.6889,1,44,timestamp,0.4117845346603144,18.51246906932063,17.277115465339687,True,V_1d_15y.parquet,V_events.csv,0,-0.024279261834275312,54,2010-11-15 00:00:00+00:00,SL,10,10
v,2011-07-14 00:00:00+00:00,V_EVT_20110714_000000_1,2011-07-13 00:00:00+00:00,19.9435,1,219,timestamp,0.4974959200844522,20.938491840168904,19.446004079915543,True,V_1d_15y.parquet,V_events.csv,0,-0.015992353398350367,229,2011-07-28 00:00:00+00:00,TIMEOUT,10,10
v,2011-07-22 00:00:00+00:00,V_EVT_20110722_000000_2,2011-07-21 00:00:00+00:00,19.9093,1,225,timestamp,0.4545675588262288,20.81843511765246,19.45473244117377,True,V_1d_15y.parquet,V_events.csv,0,-0.02383192070169371,230,2011-07-29 00:00:00+00:00,SL,5,5
v,2012-09-12 00:00:00+00:00,V_EVT_20120912_000000_3,2012-09-11 00:00:00+00:00,30.0369,1,513,timestamp,0.4810673178055327,30.999034635611064,29.555832682194467,True,V_1d_15y.parquet,V_events.csv,1,0.031031755461151556,514,2012-09-13 00:00:00+00:00,TP,1,1
v,2012-11-13 00:00:00+00:00,V_EVT_20121113_000000_4,2012-11-12 00:00:00+00:00,32.5331,1,555,timestamp,0.5360012613898334,33.60510252277967,31.997098738610163,True,V_1d_15y.parquet,V_events.csv,0,-0.01747556677321971,556,2012-11-14 00:00:00+00:00,SL,1,1
v,2013-03-06 00:00:00+00:00,V_EVT_20130306_000000_5,2013-03-05 00:00:00+00:00,36.865,1,631,timestamp,0.5779230838724515,38.02084616774491,36.28707691612755,True,V_1d_15y.parquet,V_events.csv,0,-0.01667674172989142,639,2013-03-18 00:00:00+00:00,SL,8,8
v,2013-08-19 00:00:00+00:00,V_EVT_20130819_000000_6,2013-08-16 00:00:00+00:00,39.638,-1,746,timestamp,0.8550835244760658,37.92783295104787,40.49308352447606,True,V_1d_15y.parquet,V_events.csv,0,-0.02257231758605538,748,2013-08-21 00:00:00+00:00,SL,2,2
v,2014-04-14 00:00:00+00:00,V_EVT_20140414_000000_7,2014-04-11 00:00:00+00:00,46.051,-1,910,timestamp,1.1352368561712172,43.780526287657565,47.18623685617122,True,V_1d_15y.parquet,V_events.csv,0,-0.025651730823895602,911,2014-04-15 00:00:00+00:00,SL,1,1
v,2014-07-14 00:00:00+00:00,V_EVT_20140714_000000_8,2014-07-11 00:00:00+00:00,50.5997,1,972,timestamp,0.6293705096055952,51.85844101921119,49.970329490394406,True,V_1d_15y.parquet,V_events.csv,1,0.02387645221634116,973,2014-07-15 00:00:00+00:00,TP,1,1
v,2014-12-24 00:00:00+00:00,V_EVT_20141224_000000_9,2014-12-23 00:00:00+00:00,61.6483,1,1087,timestamp,0.9416015664155594,63.53150313283112,60.70669843358444,True,V_1d_15y.parquet,V_events.csv,0,-0.01627376369527722,1093,2015-01-05 00:00:00+00:00,SL,6,6
